A,B,D,H,F,E
3062,2453,1607,5433873,4394,2948
3062,4136,42,9202132,4237,2948
3062,2371,1518,5776666,1995,2948
1098,189,986,1019250,9604,1848
1098,2294,1548,-2345508,8391,1848
1098,1392,828,53028,7801,1848
1098,3330,459,-322866,1489,1848
4470,2163,410,19094070,6915,2418
1430,2163,194,1625278,6915,2268
1430,3985,1912,-5574420,6059,2268
502,2163,1371,-2713469,6915,262
502,1514,1904,-2630652,8358,262
502,2112,68,108388,1656,262
502,2695,693,-1615631,8870,262
1002,2843,1816,-4158884,8613,2481
1002,4256,1693,-6201404,9361,2481
72,2843,1540,-4373036,8613,1965
72,700,163,-108916,9816,1965
72,2926,976,-2850592,3500,1965
3821,4071,1985,6519106,4951,1074
3821,4952,1500,7172041,1100,1074
2020,4071,1785,-3186335,4951,452
2522,4533,1700,-1345616,3179,1911
2522,274,554,6208688,7024,1911
2522,2742,1473,2321518,6512,1911
2522,750,173,6230734,3010,1911
2522,1962,497,5385370,2432,1911
2522,800,393,6046084,7160,1911
2522,4458,278,5121160,5927,1911
3197,4663,1523,3119060,4410,2994
3197,1816,58,10115481,6592,2994
3197,3170,1050,6892309,2997,2994
3197,2220,25,10165309,5803,2994
4434,4663,1386,13197438,4410,1116
4434,3657,933,16248375,6932,1116
2950,4663,36,8534632,4410,2849
4319,2151,290,18029971,869,679
3080,2151,1968,5253232,869,182
3080,1520,946,8048480,7068,182
3080,1751,69,9365581,7359,182
1990,1999,1131,1699231,5629,1875
1990,1128,1534,2229748,1321,1875
1990,4237,1560,-2649620,4011,1875
1698,1999,1711,-537085,5629,921
1698,929,1144,1820428,6383,921
1698,1221,1069,1577955,4511,921
1978,1999,1746,422230,5629,1064
574,3529,934,-2966610,50,995
574,4541,81,-38345,891,995
418,3529,758,-2500258,50,1814
418,3108,1909,-5758448,3355,1814
4934,3529,1610,18662666,50,2158
1483,3529,420,717109,50,1190
383,3529,969,-3272912,50,446
383,1527,636,-824483,9911,446
383,3522,1986,-6848003,8420,446
383,3474,548,-1757063,3615,446
2678,3479,22,7095146,4892,435
2678,2834,1955,1631214,1875,435
4192,3674,307,16444946,4779,1412
4192,578,325,17385014,255,1412
3972,3913,881,12329431,2162,1726
3972,1706,1735,12816874,7091,1726
3972,2546,1717,11405302,1831,1726
3972,1055,1253,14454869,2517,1726
3972,1185,1807,13635489,6452,1726
4425,3913,1572,13429389,2162,2443
4425,20,496,19570705,163,2443
4251,3130,102,17751741,1566,2855
4251,3590,1338,13267581,3539,2855
4251,965,263,17817206,912,2855
4251,968,246,17832873,6378,2855
4251,4953,1750,9403251,9310,2855
3613,1298,1088,11641545,5544,206
3613,2513,934,10706627,1394,206
3410,1298,1740,9369580,5544,340
3410,1272,600,10864900,6992,340
3410,619,1612,10630272,7432,340
3410,4577,455,9545565,8725,340
3483,1298,1630,10015549,5544,2485
2974,370,939,8497246,463,1500
1815,370,1980,2561625,463,1742
1815,112,1045,3177185,698,1742
1815,2043,846,1565847,4506,1742
1815,715,1106,2503435,7791,1742
1408,1981,614,766130,2383,744
1408,4235,1724,-5318676,6250,744
4933,1981,1213,21931536,2383,2903
1899,1981,1522,591119,2383,2625
1899,2357,1481,115484,1348,2625
1899,1986,565,2484111,805,2625
3866,4670,1469,8085726,270,2695
3866,3136,1931,8890340,4991,2695
3866,1260,841,13886296,1665,2695
3866,3956,657,12346864,3300,2695
170,4670,1613,-7503810,270,2585
170,3757,90,-309230,8519,2585
170,90,1256,-84140,383,2585
170,725,1972,-1400800,7881,2585
3181,4670,693,6882451,270,2352
3181,2230,1407,6981151,9576,2352
3181,164,1975,9794861,897,2352
3181,600,611,9752161,3622,2352
3181,4127,1752,2888257,3494,2352
2088,1016,1605,2729064,3461,1565
2088,4149,238,3372282,7330,1565
3610,1016,1162,11851508,3461,156
3610,708,712,12528004,7682,156
3610,2290,867,11046670,6510,156
3610,3105,733,10756135,3197,156
3567,3287,1549,7631926,9699,2995
3567,4717,127,12124430,3359,2995
400,3287,606,-1831922,9699,2181
400,397,1046,-255262,5643,2181
4896,1114,1325,22494766,5775,2387
4896,129,1441,23784927,7599,2387
2742,1313,690,6612594,6646,443
2742,4795,1587,-91101,1591,443
449,1313,1928,-2329863,6646,1640
449,3313,1981,-6361452,8134,1640
449,1043,635,-460704,5122,1640
3931,1313,1264,13793129,6646,1357
3931,116,1047,15331309,1490,1357
1062,1313,489,485787,6646,1706
1062,4688,1283,-4886860,917,1706
4650,2053,1687,18159089,3263,1137
2405,2053,93,5593096,3263,424
2405,3272,1702,215081,9105,424
1285,4627,1520,-5381815,6508,1225
4803,4627,564,20459181,6508,567
3846,4416,539,12411492,2974,2880
3846,4065,1999,6665781,9881,2880
3846,1364,1963,12114184,3651,2880
1952,4416,1699,-3692480,2974,2888
1952,3579,269,2847553,7175,2888
1952,3290,1667,-1674126,8210,2888
4604,4416,332,19730704,2974,1955
3963,4416,1443,9333081,2974,2092
3963,2319,1812,11503341,9240,2092
3963,4196,757,12528997,5438,2092
4715,3907,1808,15167369,1044,117
4715,2501,1746,17864479,3637,117
4715,652,1635,21165205,4871,117
4715,69,1533,22125448,8016,117
589,3907,525,-1704254,1044,1043
589,3867,768,-2622935,6391,1043
4864,3907,1299,18583303,1044,962
4864,740,451,23324756,8163,962
1048,755,336,844624,2988,2391
1048,4252,356,-415408,6288,2391
1048,3279,1343,-3305393,7896,2391
4660,755,456,21371320,2988,533
4660,1763,851,20215287,5701,533
4660,1418,717,20698894,6709,533
4660,2400,606,20261200,5308,533
3961,2060,1148,13324641,3035,2778
3961,1874,411,14919307,4160,2778
3961,2971,1146,12284755,4981,2778
2842,2060,1503,4980784,3035,1198
2842,2681,834,5841010,4096,1198
2151,2060,1109,2342261,3035,1730
2151,2733,200,4080201,1871,1730
2151,2179,1974,325455,4786,1730
2151,3892,1132,221057,6705,1730
2151,2422,868,2524505,5517,1730
2947,1007,220,8463269,3214,271
2947,600,428,8428009,3622,271
2947,1236,151,8498173,4008,271
2947,2307,1601,4991302,4509,271
2947,2345,1447,5291594,6047,271
4969,1007,1023,23660800,3214,2687
4969,2087,719,23190408,8573,2687
4969,3295,1722,19016971,8119,2687
1283,3819,439,-30452,7560,2090
1283,2630,1500,-2298911,4173,2090
1283,1594,978,87157,6435,2090
3844,3819,684,12164140,7560,851
3844,3868,158,14165192,7281,851
3844,1919,377,14052873,1196,851
4517,3819,1475,14770264,7560,550
4517,381,1412,19865317,2457,550
4517,3218,167,19865883,287,550
1480,3819,1755,-4511945,7560,1989
1480,558,362,1988404,8352,1989
1378,3819,325,657709,7560,576
3470,1877,799,10541177,7357,1690
3470,1690,713,10835930,1517,1690
2586,1877,1375,4106521,7357,353
2586,2993,616,4843708,5210,353
2504,1877,516,5301484,7357,2477
2504,4007,788,3112500,1289,2477
2504,820,1639,4926036,9893,2477
2504,2098,25,6217566,9126,2477
464,3150,1361,-4071854,8293,1902
464,776,540,-203744,1250,1902
460,3150,1070,-3158900,8293,2995
460,1428,1114,-1379192,1123,2995
460,2859,1975,-5434925,3481,2995
2330,3150,54,5258800,8293,2427
2330,3932,366,3989788,8711,2427
3087,3150,599,7642719,8293,547
3087,3366,1085,5877459,11,547
3087,4531,208,8587121,8924,547
3087,2623,629,7879702,1620,547
2684,4429,1670,-192574,1328,2078
2684,3238,1767,1482310,8181,2078
2198,2803,1405,892989,2855,1583
2198,646,17,4820222,9256,1583
4056,2803,116,16125988,2855,2362
4056,1519,963,14988339,5266,2362
4949,2803,1433,20475902,2855,1511
4949,220,301,24426381,1323,1511
2877,2803,1586,3831571,2855,788
2877,969,1061,7249020,1678,788
2877,4445,1145,3187604,5827,788
2877,1234,774,7322013,8500,788
3683,1706,1323,11307451,7091,1130
2807,1706,16,7851953,7091,1047
2807,4509,1432,1422361,5455,1047
2807,3532,142,7377705,5461,1047
1102,1706,1972,-2149828,7091,2991
1102,3088,1441,-3235404,4201,2991
1102,4276,1521,-5289392,8954,2991
1102,327,477,1058425,2160,2991
3547,2572,1053,9872893,5807,254
3547,3967,638,10050263,6076,254
3547,3343,1042,9097803,7577,254
3547,2838,1409,8582467,661,254
4183,2572,142,17132265,5807,2750
4183,905,1425,16207864,2801,2750
4183,752,822,16879345,5764,2750
4183,1184,1195,16082609,439,2750
4183,4784,893,13225377,8865,2750
3414,485,1258,11045266,9893,868
3414,2123,793,9971857,9418,868
3414,1307,1942,9117202,8709,868
4178,485,1735,16614209,9893,1515
4178,4449,1204,12099088,9271,1515
4178,14,928,17442692,2649,1515
4178,3889,859,14115033,7392,1515
234,485,656,-263404,9893,1810
234,3108,1127,-3447960,3355,1810
234,2205,1543,-3347559,4579,1810
234,103,20,52696,8987,1810
234,506,763,-331322,1554,1810
234,4165,1302,-5368074,458,1810
234,1623,867,-1352385,6952,1810
324,485,447,-111819,9893,2000
324,1915,1706,-3162014,6444,2000
4736,2781,760,20316136,2377,832
4736,3461,889,19352867,4532,832
4736,2043,1146,20088418,4506,832
1599,2781,1663,-2068002,2377,429
1599,3875,1380,-2790699,3652,429
1599,2563,1286,-739217,8997,429
588,2781,989,-2404665,2377,2935
4600,2449,1677,17053027,1992,605
4600,76,13,21159012,5996,605
4600,4217,1544,14648952,6135,605
4043,2449,1821,11886220,1992,2444
4043,1620,1593,13765189,676,2444
4503,2449,1600,16358609,1992,1411
4503,4072,1458,14340033,9356,1411
4503,2629,678,18494547,9684,1411
2568,3822,476,4775352,1919,2297
2568,3338,1370,2021564,8654,2297
3608,3822,1565,7036234,1919,2643
3608,3613,976,9491376,2338,2643
3608,2301,1843,8776921,7069,2643
4668,3822,109,21373626,1919,674
4105,3603,736,14199217,4137,487
4105,829,418,16504503,2773,487
4105,2038,589,15650643,2540,487
4105,1963,221,16417202,4892,487
3478,3603,1730,5863294,4137,1086
3478,3189,962,9028666,2766,1086
3478,126,1611,11893498,6676,1086
4737,3787,1763,15762688,4412,1059
4625,4365,66,21102535,602,86
4625,4820,1293,15158365,3478,86
4625,4041,17,21321928,7481,86
4049,4365,375,14757526,602,1492
4049,4447,1483,9799500,7318,1492
4049,2985,603,14594446,8870,1492
4049,4355,1318,10654511,4558,1492
2266,3016,1303,1204908,6651,2851
2266,1907,42,5054662,6764,2851
725,3016,1215,-3138815,6651,953
725,4176,1159,-4314359,4023,953
3100,3016,241,8883144,6651,2007
3100,2065,1998,5484130,5367,2007
1261,209,518,1481859,1152,174
1261,2357,1013,-797520,1348,174
1261,785,472,1219601,6213,174
1261,2460,592,133801,482,174
1261,3201,1006,-1630085,358,174
2871,209,1361,7958192,1152,612
2501,3800,293,5141601,8181,1243
2501,3921,1249,1357672,3179,1243
2703,4410,1044,2702169,3901,1058
1156,4410,1524,-5384504,3901,2348
1156,4381,1434,-4946018,6889,2348
1156,671,1455,360031,7081,2348
1156,294,844,1088200,4994,2348
4868,4410,1907,15287554,3901,1104
4868,4801,1728,15401296,123,1104
4868,3131,1679,18440475,413,1104
4868,1311,23,23667271,3745,1104
4868,1150,936,22621024,589,1104
4868,1798,349,23069922,3022,1104
1225,4410,879,-2375765,3901,2693
1225,467,574,1232567,8134,2693
2980,4410,160,8174800,3901,1754
2980,2299,67,8726367,8017,1754
686,4410,1231,-4958114,3901,2017
686,1277,366,3214,1477,2017
380,1109,1704,-1745336,9894,176
380,341,1418,-339138,9664,176
380,4368,1302,-5542736,2337,176
4121,1109,257,16697628,9894,2820
4121,1372,1433,15016565,522,2820
4121,3632,1862,10219857,6882,2820
4121,842,1964,15328953,8609,2820
2593,1109,489,6181348,9894,688
2593,2440,807,4754569,473,688
2593,2575,457,5546874,228,688
3330,1109,1486,9440926,9894,1302
3330,4537,1738,3203594,2752,1302
3330,2465,1847,6536045,2061,1302
3330,2544,811,9025716,119,1302
395,2144,1342,-2721223,1043,772
395,2461,1035,-2391110,6314,772
4629,2144,887,19525913,1043,1472
4629,2909,1366,17453947,6620,1472
4629,3148,769,19006829,8398,1472
250,2144,484,-975196,1043,1468
3945,4488,1862,7206369,7297,2779
3945,1217,529,14919232,7777,2779
3945,4470,224,14561745,1324,2779
578,4488,239,-738548,7297,669
578,318,1932,-280292,4204,669
578,473,113,280635,1778,669
578,3234,1012,-2938724,7100,669
3870,2277,1801,10876023,7651,1747
3870,1844,1057,13027792,6444,1747
4679,1273,1166,20408723,3479,1346
4679,883,1360,20692161,1711,1346
4679,4150,1078,17419341,8412,1346
2594,446,264,6611092,2692,875
2594,4576,646,3772740,8940,875
2594,1549,363,6166549,522,875
2594,2035,1906,2850126,8609,875
2594,3514,754,4079280,7916,875
901,2760,470,-485399,3026,1192
426,3028,1659,-4841976,1426,1106
426,3038,991,-2829182,8383,1106
19,3028,311,-941347,1426,1912
19,2378,657,-1561985,772,1912
19,4255,1951,-8301144,319,1912
958,3028,1399,-3318408,1426,239
958,357,1936,226612,7545,239
958,722,1037,169050,6475,239
2131,3055,372,3404701,7922,75
2131,304,1048,4222569,5633,75
2131,1652,749,3303813,5466,75
2131,4270,323,3161951,5251,75
4571,3055,1116,17484661,7922,1395
4571,1378,1660,18606561,2317,1395
4571,590,29,20876931,2153,1395
3820,4102,978,10580644,9988,712
3820,3400,1500,9492400,8762,712
3820,2953,1628,9784916,3869,712
3820,646,20,14579480,9256,712
11,4102,773,-3170725,9988,2651
11,2347,1010,-2370349,1083,2651
11,1601,465,-744344,6543,2651
11,3626,1172,-4249551,7819,2651
4524,4102,776,17283424,9988,461
4524,4693,1849,11789219,2179,461
3912,4102,949,11410946,9988,1273
3912,4449,1079,10503273,9271,1273
3331,729,1786,9793567,214,354
3331,2577,748,9167965,2204,354
3331,555,1585,10215886,5953,354
4523,729,601,20019400,214,1570
4523,1975,1381,17730054,6596,1570
4523,2391,705,18771874,8687,1570
4523,572,1762,19449665,1946,1570
3384,729,1836,10113012,214,2642
3384,4707,1742,3251862,9014,2642
3564,729,995,11976741,214,2634
3564,292,805,12467036,1254,2634
3564,1876,51,12606420,2933,2634
3564,3297,1727,7008177,3841,2634
3564,573,1477,11855775,5026,2634
3564,837,155,12572361,819,2634
1998,729,1666,2777490,214,1750
2486,2968,252,5432260,1924,1470
2486,3581,831,3204385,5026,1470
2065,2427,855,2189140,6590,2656
2065,2142,1716,588553,3510,2656
1308,1763,1225,-448811,5701,2502
2320,4855,1572,-2249660,4991,706
2320,2115,650,4007650,8001,706
2687,4855,1263,1088104,4991,681
807,4855,1422,-6252561,4991,2732
807,3110,288,-244431,6384,2732
807,4530,515,-1681701,6484,2732
807,230,744,480129,746,2732
807,2054,174,293853,503,2732
4011,4855,488,13718881,4991,2673
4011,112,222,16063257,698,2673
1010,4855,1010,-3883450,4991,1342
1010,4062,160,370180,7955,1342
3745,682,488,13692209,8795,2949
3745,226,691,13868859,5112,2949
2576,3054,972,3667288,9381,2418
2576,3281,1663,1179473,5527,2418
1951,3054,1633,-1180781,9381,2476
1951,2126,1026,1625125,1014,2476
992,3054,307,46486,9381,1798
992,3420,478,-650696,2784,1798
992,4544,302,-388224,8831,1798
992,7,553,980193,1812,1798
2450,2635,1540,1944600,8504,84
2450,1117,634,5294322,2850,84
2450,2029,1819,2311749,8806,84
2073,2829,10,4269039,5636,2424
2073,1649,1017,2620296,4983,2424
2073,3306,1325,-83121,5204,2424
1177,2829,1918,-4040693,5636,1346
1177,2628,1709,-3105923,5521,1346
1941,925,565,3244856,2628,1067
1941,621,1367,2918574,301,1067
1941,4836,239,2611677,1096,1067
3819,925,582,14046411,2628,1280
3819,1444,1096,13002137,9913,1280
665,925,998,-480925,2628,1383
665,2031,686,-951041,2389,1383
665,2815,53,293030,4373,1383
3967,925,187,15564114,2628,1597
3967,2538,508,14447785,1086,1597
3967,3873,120,15272329,7700,1597
3967,1833,1605,12795124,7778,1597
4785,925,351,22571550,2628,1571
4785,1720,138,22658865,1017,1571
4785,2461,644,21311341,6314,1571
3760,2403,703,12448291,4489,370
3760,943,1151,13052207,4366,370
3681,2403,1184,10704609,4489,1675
3681,787,1152,12643137,2434,1675
2406,2403,1828,1396152,4489,1983
1775,4152,133,2598409,1684,2430
1775,285,1073,2844820,4648,2430
1775,1190,1014,1943965,1249,2430
3014,1039,58,9023934,378,807
3047,2278,1515,5833039,2267,1505
3047,4681,88,8872281,4402,1505
3418,2278,1171,9015186,2267,931
3418,2399,1390,8348114,3021,931
4902,2278,1654,20261792,2267,2552
4902,3772,199,23278976,5729,2552
4902,592,891,23502132,6019,2552
3544,2278,1501,9140658,2267,2907
3544,1115,201,12335821,171,2907
3544,166,277,12513954,5812,2907
3544,4511,1542,5603974,3399,2907
3615,2387,46,12958423,6909,295
726,2387,1939,-4101317,6909,1013
726,711,411,234855,4591,1013
726,175,984,354876,7926,1013
1110,2387,1225,-1691975,6909,2710
1110,992,1503,-258876,791,2710
1110,1003,1462,-234286,4513,2710
4118,2387,313,16210793,6909,2629
4118,4039,1642,10325886,6432,2629
4118,3476,1956,10158868,5542,2629
4118,97,221,16936487,1867,2629
3936,2387,320,14728256,6909,1583
3936,3306,1196,11538120,5204,1583
730,2387,518,-703566,6909,1633
730,4849,323,-1033327,6274,1633
730,339,477,371197,1414,1633
730,2485,1870,-4114050,8648,1633
730,3926,1267,-4441342,301,1633
3560,2520,370,11741200,773,1119
3560,1784,1993,9118088,6707,1119
3560,1265,1872,10305520,219,1119
3560,4672,1223,6959744,7556,1119
3560,2193,1404,9594628,2893,1119
4771,2520,1061,20088721,773,663
4771,2556,243,22141333,8572,663
93,61,1041,-54852,9853,2973
93,4228,661,-2786059,9336,2973
2779,61,634,7684167,9853,1044
2779,854,1008,6862009,7571,1044
2779,3118,898,4922877,4242,1044
2779,1253,1059,6395914,1276,1044
2779,4923,1622,-262265,8316,1044
2779,2429,1086,5084947,5686,1044
3266,892,363,10342960,6488,282
3266,3846,1118,6366928,3966,282
3266,862,749,10021118,8292,282
4951,892,742,23850537,6488,1426
4951,4930,1999,14657331,2594,1426
4951,971,342,24180319,8408,1426
4951,4953,391,22575778,9310,1426
4117,892,947,16104965,6488,2932
914,2096,1359,-2013068,9395,1632
914,2679,1837,-4085927,7939,1632
914,4052,1392,-4804988,7122,1632
914,2107,923,-1109365,4058,1632
914,4393,176,62228,8437,1632
538,2096,1344,-2527580,9395,470
538,2238,1603,-3298070,5146,470
538,2521,61,135663,263,470
538,15,1243,270799,2182,470
2536,4666,1874,-2312788,8437,1122
2536,4387,831,2785699,5209,1122
2536,1856,812,4924224,7992,1122
2536,541,1383,5683093,397,1122
1433,4666,16,1978833,8437,1926
3177,964,1704,8450673,3891,1980
3177,1012,129,9962781,3302,1980
2671,964,671,6487397,3891,1581
2671,168,1302,6915505,9846,1581
2671,438,353,6979627,6926,1581
2671,4003,315,5873296,6229,1581
399,964,550,-370999,3891,2919
399,3810,1279,-4713789,490,2919
3800,964,1186,13296696,3891,301
3800,2255,1094,11973030,6249,301
1679,964,545,2293661,3891,1299
4712,3617,1040,18441264,3757,1241
4712,3895,1054,18097614,8181,1241
4712,4665,1675,14389069,5035,1241
4712,2507,1925,17376969,2915,1241
4712,2689,602,20584166,8594,1241
1670,3617,1422,-2354474,3757,2499
1670,405,704,2503780,6428,2499
3460,3617,692,9468636,3757,2772
4219,906,310,17519101,2303,2576
4219,1955,1082,15684651,9049,2576
4219,977,1694,16144923,9812,2576
4219,287,234,17732803,4371,2576
4219,1682,411,17108659,2548,2576
4219,1061,524,17243997,8551,2576
4977,906,363,24441651,2303,765
4977,2260,1172,22121809,1728,765
4977,4497,38,24599643,2234,765
4977,1652,664,23673601,5466,765
1006,906,856,236500,2303,2656
1006,2206,436,50220,7139,2656
232,4054,340,-1324536,1779,431
771,4054,42,424173,1779,2358
1300,4054,30,1568380,1779,2837
1300,3180,567,-113060,2710,2837
2229,3995,976,1069321,5178,83
2229,2308,779,3170509,715,83
2229,890,1997,3191111,2218,83
1074,3995,1191,-3604569,5178,717
1074,2039,779,-434905,7796,717
1074,1697,202,810682,8074,717
1074,2654,1191,-2007438,2580,717
1856,3995,828,136876,5178,680
1856,1483,1726,885078,6350,680
1856,3369,1421,-1342613,7093,680
1856,4219,199,2605155,8766,680
2670,3895,1457,1453885,8181,1859
2670,3630,582,5016240,3100,1859
2670,1862,767,5700746,1546,1859
15,3895,909,-3540330,8181,976
15,4710,1868,-8798055,7487,976
2618,1337,341,6398007,5535,421
2618,4402,601,4208322,6792,421
307,1337,816,-996743,5535,1259
307,560,867,-391271,6878,1259
307,972,1380,-1247111,8656,1259
307,876,957,-744083,8935,1259
4272,2707,1647,13791555,5384,368
4272,2129,160,17909344,770,368
304,2707,240,-557264,5384,1944
304,4637,1494,-6835262,4670,1944
1685,135,1333,2659270,299,1778
1685,4387,407,1053716,5209,1778
1685,4712,1162,-2636119,9570,1778
1685,2484,415,1808365,7460,1778
1685,2429,99,2598754,5686,1778
1685,2287,982,593391,6118,1778
3455,135,1652,11714005,299,18
3455,2027,1639,8614772,3008,18
3455,4296,382,10295953,9584,18
4077,135,1473,16423074,299,1161
4077,2850,1529,12264279,9223,1161
4077,890,1026,15708789,2218,1161
3019,135,469,9051046,299,2837
3019,4639,469,6938670,3226,2837
1728,2937,1242,-661770,2867,1618
2835,1211,1459,6270376,5111,553
2835,1644,1194,6074289,1508,553
2835,4260,1493,1677045,742,553
2624,1585,986,5322566,1900,1642
2624,4538,1847,-1496310,2642,1642
2624,1642,800,5571776,3210,1642
514,1585,1919,-2777419,1900,41
514,2296,1528,-3244092,1023,41
2926,1585,325,8046351,1900,1926
2926,813,1670,7203766,213,1926
2926,1664,1210,6548036,1904,1926
2926,2156,1826,4624620,4260,1926
2926,3319,713,6195029,2594,1926
3009,776,1528,7868353,1250,2802
3009,4021,380,7526101,4376,2802
7,776,522,-405023,1250,604
7,2874,1636,-4701815,5172,604
3306,776,530,10518356,1250,1207
3306,394,184,10857140,5645,1207
543,776,470,-69871,1250,1400
543,4048,229,-632143,6659,1400
281,2554,118,-222411,5862,236
281,2931,1310,-3760649,1257,236
281,3690,1896,-6917279,6919,236
1927,2554,399,2694283,5862,2082
1927,2860,1131,478669,2453,2082
3725,2506,1000,11369625,6813,2332
3725,3049,1428,9521653,4947,2332
3725,632,1063,13203809,8607,2332
2453,2506,171,5588683,6813,2824
2453,1577,76,5897357,2326,2824
2453,2002,572,4872065,2262,2824
1565,2506,1297,-801057,6813,2042
1565,1417,996,1037893,6292,2042
1481,4017,1112,-2273543,7821,140
1481,1659,1565,-402974,2473,140
2302,4017,251,4290937,7821,2408
4819,308,981,22920613,6453,394
537,1258,1850,-2038931,6854,1026
537,2200,217,-189031,4945,1026
4786,1258,745,21968586,6854,1730
4786,1454,946,21530312,7488,1730
4786,4988,1899,13433584,6917,1730
4786,1773,1747,19808365,6787,1730
3466,1258,419,11486054,6854,1875
3466,4033,1208,7141292,7473,1875
3466,666,1547,10982854,3152,1875
3466,276,1753,11529328,2444,1875
4489,3611,965,16666506,9957,252
4613,3611,1864,14548865,9957,1519
4613,1049,717,20527636,4137,1519
4613,3318,836,18505921,8819,1519
3416,3611,1595,5909511,9957,2992
3416,2974,1578,6976084,1508,2992
3416,4885,1180,5904756,9127,2992
1153,3611,1487,-4040148,9957,2447
1153,2270,914,-745371,5859,2447
1153,1403,771,247696,6485,2447
1153,3538,1494,-3956363,4471,2447
1153,254,1976,827505,8375,2447
4700,1302,660,21230680,6574,2306
4527,1302,1071,19099287,6574,2384
4527,1473,1119,18845442,7728,2384
4527,3982,233,19565923,6013,2384
1056,1302,95,991446,6574,1807
1056,4387,1857,-7031523,5209,1807
1056,3712,747,-1657728,7772,1807
1193,1302,1355,-340961,6574,1080
1193,1998,1622,-1817507,5166,1080
3636,1302,1101,11786994,6574,479
2679,4719,1227,1386828,1683,401
2679,4067,1100,2703341,9204,401
2679,2110,821,5444731,6166,401
4391,4719,1862,10494103,1683,2550
4391,1502,227,18939927,3067,2550
4391,3267,397,17983882,2391,2550
4391,1598,1440,16979761,5271,2550
4391,1251,39,19232092,7207,2550
2966,4719,776,5135212,1683,1836
2966,70,1090,8720856,5115,1836
2966,3805,1500,3089656,1909,1836
2153,4719,1520,-2537471,1683,600
2153,1134,1246,3222445,4485,600
3943,1158,598,14854765,2477,1791
3943,2122,458,14575373,3829,1791
3943,3875,821,12365874,3652,1791
3943,2916,1370,11552329,2696,1791
3943,1695,307,15026884,7005,1791
3637,844,956,12420905,6998,111
3637,3044,381,12068005,7883,111
1311,3502,199,1021823,3728,2873
564,439,257,205273,9394,1400
564,849,1053,-575901,8962,1400
564,3196,1949,-5910908,7042,1400
593,439,762,17131,9394,245
593,2106,1543,-2897909,3919,245
593,1899,995,-1537856,2144,245
1248,3567,1066,-2244918,601,894
1248,4821,655,-1600251,1176,894
994,3764,130,498716,593,710
994,1742,258,538600,308,710
994,3769,1224,-3625220,8906,710
3975,3764,1091,11694101,593,2412
3975,2940,796,13460385,8927,2412
3975,3388,975,12497325,8672,2412
116,3764,359,-1337820,593,2962
4988,3237,1933,18623023,4112,719
4988,136,1723,24645816,3156,719
4015,3237,341,15016408,4112,427
4015,4596,1751,8072629,1971,427
4015,3034,1921,10291911,5787,427
4015,3431,1766,10061079,2515,427
4015,3960,1875,8695225,2635,427
728,4274,1715,-6799926,9907,796
728,2820,1107,-2591756,8682,796
728,3949,1201,-4212765,476,796
728,3936,887,-2961248,3360,796
728,1531,1528,-1809384,9729,796
728,4175,719,-2471841,7343,796
55,4274,1123,-4796677,9907,732
808,256,1607,241472,5437,1457
1932,256,43,3721616,5437,752
1932,2563,1048,1046600,8997,752
1932,675,281,3542949,5151,752
2537,3036,1085,3142309,3386,2103
2537,460,862,6039849,2856,2103
2537,149,642,6340711,1708,2103
2537,1096,1269,5045545,4645,2103
3013,3036,1834,3510145,3386,2802
3013,3425,77,8814444,593,2802
2016,3036,1164,530352,3386,1499
2016,4537,815,366601,2752,1499
1532,638,215,2209854,3041,1655
1532,3837,726,-438638,1765,1655
1532,4250,542,43524,2814,1655
4299,638,1925,17253251,3041,1058
4299,1889,552,17438673,353,1058
2881,638,1456,7371233,3041,701
2881,1053,1703,6506902,5109,701
2881,3039,1975,2298136,375,701
3233,1565,178,10173719,6977,746
3233,2972,459,9088141,2263,746
3233,3117,817,7905700,9148,746
3233,1754,744,9147313,6728,746
2945,1565,526,7849835,6977,1684
2945,2553,929,6301288,2319,1684
1919,67,1535,3579716,8069,2304
1919,1914,1223,1341739,7812,2304
1919,102,1103,3570055,3139,2304
1555,67,1685,2305130,8069,1911
1555,3082,808,-72231,6905,1911
1555,3065,153,1949080,2700,1911
1555,3385,101,2076140,675,1911
1555,3641,75,2144950,5358,1911
1555,385,97,2380680,1693,1911
1555,799,1221,1442446,991,1911
4811,67,1835,23022776,8069,369
4811,1193,646,22375043,6767,369
367,67,1780,15429,8069,1342
367,4499,988,-4310323,2660,1342
367,3246,712,-2176463,7016,1342
367,2484,949,-2222627,7460,1342
2284,917,1129,4181363,8884,735
175,917,1794,-1614473,8884,296
175,2100,105,-189875,6664,296
3889,1958,1783,11633207,7267,2793
3889,1738,1713,12147127,9709,2793
3053,2749,714,7358023,1404,932
3053,3725,1188,4895509,7345,932
2898,2749,890,5951794,1404,1326
2898,1804,1432,5815076,5429,1326
2898,4249,893,4604047,6638,1326
1324,1089,1665,-60209,7161,2421
1324,3697,1310,-3090094,7736,2421
1324,15,770,1741426,2182,2421
1218,1089,364,1087128,7161,2690
1218,2946,594,-266400,8070,2690
1218,4537,1775,-6569651,2752,2690
4776,2230,1519,19422806,9576,1604
4776,2460,1538,19026696,482,1604
4776,553,1125,22188051,9525,1604
4776,4378,428,20936392,25,1604
2472,2230,287,5470774,9576,968
2650,2230,1911,2760970,9576,2054
2650,3391,1609,1566381,924,2054
2650,3399,54,6838954,1337,2054
3001,2230,1207,6314391,9576,494
3001,3233,1240,4997081,3789,494
