A,B,D,H
1521,4543,1045,-2433994
3890,2406,1017,12685198
2490,3894,1695,-400230
4916,1362,1305,22389646
2636,647,1036,6278204
2398,4583,885,1694449
4905,454,1758,23260893
1924,875,1165,2682401
1150,1056,391,909604
964,1839,716,-387428
205,1768,1091,-1886863
4123,101,43,16994786
833,979,948,-234203
4071,2763,1218,13207707
4134,4694,859,13057810
2117,3635,1498,-963541
1850,3166,1383,-956078
488,1943,1472,-2621952
146,4049,614,-2464770
4376,448,1708,18384192
1932,256,43,3721616
183,3276,914,-2960775
1466,614,1759,1069130
4485,1139,513,19530918
4632,132,1898,21204888
1692,3275,204,2194764
4845,1125,998,22351275
1870,1525,1133,1769075
2475,2190,11,6101535
4694,4654,164,21270380
1301,3889,88,1350369
2799,1696,1477,5329409
3855,2068,1996,10733297
641,3835,601,-1893954
569,2845,360,-700439
63,1893,371,-698334
4157,3210,464,15791209
2030,242,802,3926816
1027,2963,1314,-2838653
3377,277,1180,11077269
3016,4704,1006,4364032
4961,155,598,24518831
1182,1179,333,1004517
323,18,563,94195
3184,4832,1788,1498240
1091,1032,1674,-537287
1952,4416,1699,-3692480
3013,3036,1834,3510145
1300,3180,567,-113060
1081,4238,1663,-5879233
2714,2071,1179,4924087
4733,2352,1413,19077913
2854,2922,50,7999216
2100,1800,1215,2223000
3151,437,480,9719041
1414,742,822,1389472
1520,3141,671,202789
4174,315,1514,16945366
3563,1434,635,11784379
8,1323,363,-480185
2894,2609,1890,3444226
3440,1606,584,10895696
1521,2732,189,1797093
2671,964,671,6487397
4181,3183,261,16649998
66,2106,640,-1343484
3937,1777,1631,12601682
2985,3300,1826,2884425
588,2781,989,-2404665
992,3420,478,-650696
3105,2282,1619,5946467
1210,1542,508,680764
4354,833,1534,17679494
2343,103,1067,5379748
1773,977,1827,1358550
4336,3866,731,15974850
797,1944,1976,-3206135
4864,740,451,23324756
2405,3272,1702,215081
354,1386,1043,-1320282
4779,2142,1943,18676935
4642,2975,552,19905964
4183,1184,1195,16082609
2504,4007,788,3112500
2392,1610,233,5346534
2682,4499,151,6513775
3532,1550,514,11678324
4380,4806,829,15200226
3709,190,1636,13445841
1775,285,1073,2844820
4677,304,947,21586441
1785,1652,1609,528157
2232,3558,186,4320036
3318,4518,952,6707988
29,3958,1741,-6890037
4079,4773,174,15807739
4250,1965,908,16278280
4394,945,1051,18314041
3282,1757,1193,8675423
2762,2169,1140,5155984
2049,2816,1142,982529
3975,3388,975,12497325
619,3620,1018,-3301999
2508,618,1698,5240700
221,750,1630,-1173659
3165,2086,296,9399769
310,912,1519,-1289228
1870,2773,1217,122159
2170,4653,949,293203
1986,2671,623,2280163
642,3003,1840,-5113356
2596,1422,665,5793586
2342,3244,716,3162260
3233,2972,459,9088141
4519,2106,886,18555445
3828,1685,1164,12692244
3271,1509,1846,7913827
3088,1701,1249,7411195
4064,472,1144,15976128
2571,1008,823,5780457
1085,2622,240,547945
77,1008,171,-166439
1195,1537,1602,-1034249
2984,3872,1713,2271520
3503,787,1310,11240039
1976,3417,1103,135625
884,4166,1689,-6254918
979,1939,467,52928
2914,4276,1098,3796348
4316,4893,1249,12516499
2170,3460,917,1536080
1665,3865,1985,-4899800
399,964,550,-370999
3932,1137,968,14360008
1261,785,472,1219601
4221,3962,1932,10162257
4701,3929,598,19749859
3679,1479,1225,11723266
4545,1557,1110,18928755
4604,4416,332,19730704
4136,60,242,17091976
105,179,699,-114096
83,4313,682,-2934577
115,3590,1739,-6229785
1944,384,25,3769536
656,2249,363,-386051
4733,4353,1768,14705185
1480,558,362,1988404
475,2735,1291,-3305260
4358,3580,1381,14048184
4996,2483,63,24803587
4671,4639,1529,14725210
2016,4537,815,366601
2545,1198,546,5822917
1608,3702,1991,-4785018
4183,4784,893,13225377
640,1001,827,-418227
108,288,1970,-555696
3772,1510,1680,11691184
4434,4663,1386,13197438
1624,1006,1229,1401002
3577,3993,1285,7663924
1465,2127,1244,-499763
876,3238,64,560144
2674,748,173,7020872
3819,1444,1096,13002137
1820,2104,1798,-470592
1615,1129,147,2442262
2290,2321,211,4754369
719,1736,368,-121887
1009,1659,754,-232805
4839,3875,1340,18223421
2171,588,1039,4102309
4824,16,792,23258304
4868,3131,1679,18440475
1152,1177,740,456124
4873,3060,1660,18666529
3218,1743,1005,8603809
1063,4766,932,-3311943
129,4272,521,-2209071
641,2855,1578,-4094309
3078,2047,2,9469990
951,1743,304,374529
382,711,1508,-926264
3339,575,595,10806796
135,1619,1116,-1788579
4474,1029,1704,18263260
1974,3398,481,2262238
2945,2553,929,6301288
1135,783,850,622675
3004,1092,1413,7481020
2641,3037,1112,3597737
2038,2141,1433,1085391
319,3130,114,-255059
920,3441,736,-1686176
4657,299,1834,21139283
3782,4858,149,13579682
4335,1068,1739,16934973
1248,4821,655,-1600251
2876,127,1211,8117579
2594,4576,646,3772740
3828,2955,697,12593949
4640,4722,1171,16000138
3921,290,1553,14923871
1060,4897,411,-889067
2181,1677,1608,2060145
3319,864,79,10947505
2815,3904,96,7549441
2076,538,755,3903586
3255,1985,442,9717655
4877,1042,740,23014049
972,4539,120,400104
2684,3238,1767,1482310
2992,2321,1581,5282563
1921,1852,441,2873509
818,1068,1710,-1157156
3349,73,881,11151488
4256,4667,342,16517422
1508,1925,1934,-1448886
3804,4401,631,11693385
3608,3822,1565,7036234
3176,2821,179,9582017
4533,2637,1319,17069886
1683,2576,241,2211673
724,1218,1499,-1301606
3649,3508,401,11908493
783,3491,10,578179
3,4771,27,-128808
1762,1529,1501,809615
1253,914,1106,559125
2492,3724,1919,-936292
2754,4548,586,4919388
2023,1460,698,3073449
272,3009,1963,-5832683
2834,3409,491,6357737
3939,1287,1371,13751244
3401,1099,322,11212923
979,2107,258,414835
2838,2611,278,7328386
2131,3055,372,3404701
4417,4810,634,16460349
2135,1434,725,3518575
1953,1146,651,3068163
2699,1250,1950,4847101
41,3995,31,-122164
1835,3837,618,995959
663,4234,154,-212467
3792,4493,647,11472293
2821,2985,1428,3695461
2322,3961,100,4995584
4896,129,1441,23784927
1975,1675,890,2409875
1915,1243,811,2659152
541,1724,459,-498635
2243,2120,1985,822849
3234,1921,1482,7611834
2209,1413,760,3805801
1017,1025,1140,-134211
1768,1517,269,2717751
707,4088,166,-178759
3368,1842,656,10135072
4506,4713,1209,14606019
1038,3677,396,-378648
3896,3947,411,13556599
2727,462,1506,6740757
425,1716,1092,-1693247
1934,3920,1182,-893084
3913,3355,151,14804964
2764,1758,1597,4832170
4796,544,340,22816656
354,2374,773,-1709786
3293,2982,1441,6546787
101,63,1915,-110444
3177,1012,129,9962781
1757,994,1600,1496649
1108,909,1154,178678
1684,2310,253,2251426
3752,4704,612,11198656
4371,3363,296,18110193
4646,4747,1269,15561373
4344,4030,947,15053926
2526,3053,1979,338789
3140,3802,1249,5110902
1491,650,149,2126231
1791,4641,115,2673966
1715,4624,1881,-5756519
3087,4531,208,8587121
1686,101,1884,2652312
3742,2297,1924,9583136
4273,1372,1794,15797161
4395,904,1871,17624641
3993,495,1539,15182244
1321,1917,1153,-465260
29,1220,1225,-1493659
2661,4946,1891,-2271965
4298,3118,1244,14594012
983,1454,1290,-909371
4260,2056,1650,14755200
3590,2598,40,12784180
3437,3017,1256,8023617
2082,696,399,4057020
1633,1166,716,1831833
4352,939,1292,17726716
3346,2127,875,9334591
1635,2027,1427,-219304
3002,1656,1461,6592588
4118,4039,1642,10325886
3626,4341,1401,7066135
2642,2271,1421,3753073
4919,3115,504,22626601
4178,485,1735,16614209
2708,2626,633,5671006
4643,3214,1990,15161589
2186,1946,313,4169498
1412,2930,313,1076654
3109,3834,865,6349471
4271,483,737,17885470
84,3481,1522,-5291026
3356,2240,514,10111376
4099,3316,1401,12156085
4819,308,981,22920613
3226,2942,623,8574210
3805,1403,1638,12179911
1069,2872,1811,-4058431
876,558,920,254016
1658,4368,1649,-4453868
3166,579,303,9848119
1579,3728,1520,-3173319
1076,2500,1150,-1717224
2211,4932,1203,-1044675
3844,1919,377,14052873
3207,1949,920,8491769
3354,1696,250,10825316
1245,4219,1468,-4643467
346,2095,1782,-3613574
2214,817,1718,3498190
1341,2247,1324,-1176747
2648,3518,1220,2719944
4698,2463,1951,17265891
4021,2400,1965,11452441
3298,4407,1008,6434548
732,4947,692,-2887500
1191,4777,881,-2790056
4295,2447,124,18143597
1699,500,507,2633101
2859,4631,866,4163435
2230,4446,150,4306000
1260,640,535,1245200
4108,652,1068,16179328
4635,2724,656,19696281
118,1405,621,-858581
3692,4154,782,10382436
887,3562,1261,-3704913
3906,1287,769,14267133
4815,4179,209,22310814
3853,4312,1555,8140449
3360,3035,1965,5325825
1471,3723,193,1445302
1554,3354,106,2059392
2071,2978,834,1805389
1669,185,1411,2524526
2323,4317,1966,-3090893
692,600,1438,-383936
999,4538,719,-2264821
3713,2847,1071,10737232
4056,1519,963,14988339
3007,4183,1595,2370164
4935,506,1582,23553733
576,4120,1031,-3915944
4433,475,469,19428714
813,4686,1186,-4896627
3424,672,234,11566528
2743,3698,1309,2683367
4815,2299,493,22050818
4734,3405,1488,17344116
3257,4806,1315,4288159
4324,2060,1711,15172316
375,4057,1182,-4654749
3134,2628,984,7236004
4958,4205,1727,17319729
24,4191,163,-682557
2250,2286,33,4987062
1215,456,804,1109601
2926,1664,1210,6548036
4573,4950,1710,12447829
3143,1296,1907,7406977
4983,1817,495,23930874
2085,3799,256,3374681
4733,4197,727,19350070
2099,4344,1606,-2570663
1909,1600,1794,773881
3437,737,972,11096605
262,866,1069,-857110
591,148,335,299701
1828,3667,232,2490840
825,625,1932,-526875
2366,3073,1298,1609202
1709,4618,390,1119661
183,2962,14,-7979
1630,2839,1660,-2055840
2338,848,1348,4323140
3092,3887,1691,2987547
4615,977,1753,19585544
1670,405,704,2503780
4052,2509,1104,13648768
4946,4987,1319,17885063
1836,554,1190,2711636
4066,2015,1121,14273541
3307,195,974,10746319
4886,1865,1007,21994941
1918,2050,1516,570924
1110,992,1503,-258876
367,4499,988,-4310323
590,3302,326,-728352
2846,3919,625,5650341
2346,4418,556,3047308
1247,1167,1583,-292352
3028,2143,993,7040785
770,3757,107,190901
882,1223,1273,-778955
2376,220,1396,5338256
1065,4608,1473,-5653359
2794,3939,335,6486871
4236,2028,951,16015068
2554,1989,1955,2634421
2119,1006,1622,2858429
291,2155,1993,-4210234
202,2847,1695,-4784861
1597,4954,1726,-6000195
4143,133,968,17035705
4837,2819,1514,19128603
4547,2192,325,19962809
1251,1073,599,922274
2086,1076,1821,2392000
3038,824,1237,8210156
4333,1895,1516,15902069
4953,424,848,24172657
2498,1326,314,5823640
3723,2039,844,12139813
3474,1418,1710,9643896
2990,2776,1840,3832260
2490,1357,493,5531099
3111,1501,766,8528555
3740,2077,1149,11601127
2874,4593,1577,1016715
436,496,302,40304
881,2854,1332,-3025367
2573,267,1663,6176308
4800,2375,765,21223125
62,1526,266,-402072
2536,541,1383,5683093
3942,79,1486,15421970
1669,2238,1551,-685577
2828,1742,1531,5330582
1706,4443,1990,-5931134
3262,2268,174,10246012
3924,4116,1849,7787292
1288,3596,1697,-4443468
2692,3640,1770,804064
2423,2197,68,5721533
559,3440,804,-2453279
4330,4531,927,14548663
4321,1314,918,17464789
4123,3207,1987,10626820
1135,4361,1753,-6356608
3260,182,1892,10283256
1084,2654,1648,-3198736
1641,4629,881,-1385268
1678,1842,831,1284982
1852,795,1014,2623774
1972,3177,210,3221614
1362,1019,349,1499413
4511,3390,1272,16037041
4044,2067,668,14973180
3953,3380,1443,10748869
1695,4418,1092,-1951431
720,2178,388,-326664
3095,3240,1680,4135825
4081,2253,608,15284737
500,3870,94,-113780
1263,3877,1493,-4193192
1364,2208,781,136048
2590,2313,611,5294857
3324,4721,703,7730113
2956,2500,1731,4410436
4059,4156,443,14634373
4828,1763,1997,19788873
2661,4234,1702,-125347
1732,2488,978,566560
3501,3115,1320,8145201
4189,4962,103,17036635
2182,2773,1463,704225
1692,3591,1732,-3356748
4945,1935,145,24172450
75,2633,14,-31237
2496,4168,1306,786608
2383,4939,769,1880598
1782,3010,1924,-2615716
970,1657,301,442143
3061,1830,1061,7428091
4988,136,1723,24645816
2553,990,1921,4616019
271,24,1727,31993
4135,3828,108,16684801
2940,2883,1452,4457484
269,1584,352,-485207
195,623,142,-50441
3068,2742,675,7561774
142,314,1907,-578634
2151,2179,1974,325455
4697,827,1379,20921376
157,1702,976,-1636503
86,309,559,-165335
2908,173,298,8404910
1435,1356,130,1882945
3182,3113,1209,6361507
3540,1726,1622,9732028
1314,3127,1426,-2732506
717,918,539,19287
4287,3148,1782,12768633
3222,1103,1147,9116143
1412,4652,973,-2532652
301,1654,148,-154191
4764,90,1327,22576266
911,4271,268,-314707
4866,3011,1818,18203958
4728,2576,407,21305552
4580,3743,675,18449875
2514,362,1287,5854302
4311,2374,1900,14074121
1712,3864,1034,-1064432
1928,3668,800,782784
56,2066,811,-1672390
2572,711,1429,5599165
4821,1022,179,23059103
2537,149,642,6340711
2865,4468,1196,2864497
2836,4674,1738,-80516
2647,3766,1397,1745507
2474,3035,433,4806521
634,3516,1324,-4253228
2562,3378,1859,284142
1374,18,1032,1869300
2792,2394,1719,3679978
1130,1043,1594,-385642
4032,2655,1197,13078989
90,226,1570,-346720
3254,1378,1461,8575258
2247,4877,1893,-4183152
4466,2877,774,17718358
4449,1692,866,18328329
3510,3920,1478,6526340
3282,3275,119,10381799
4994,4103,1974,16840714
3774,2247,1394,11110758
2926,813,1670,7203766
4801,2380,1024,20612481
2585,426,1153,6191047
4240,4250,616,15359600
3458,779,1046,11142930
1268,3666,1257,-3000338
1885,1808,1465,904505
2554,797,962,5756202
2982,318,798,8638560
351,2634,52,-13767
2572,2687,341,5698917
4254,280,1174,17767796
2597,2257,1527,3297970
2151,3892,1132,221057
4617,4021,1156,16668413
423,1725,1747,-2834646
3963,4416,1443,9333081
658,2359,772,-1388184
4436,3348,1634,14207464
3842,3667,1191,10393567
2940,1501,755,7510345
4778,4823,1218,16954870
3036,1811,667,8009359
4454,4123,1243,14713227
2012,2667,1577,-157715
1627,3797,1698,-3800177
336,3267,244,-684252
2358,1980,511,4548384
3773,2811,1356,10423813
1594,1247,1748,361080
1399,2572,1665,-2325179
1394,2032,659,604148
838,464,876,295780
4349,3781,110,18497891
1705,959,1237,1720742
4118,3476,1956,10158868
6,2056,1319,-2711828
1638,110,369,2642454
1402,1030,192,1767844
3871,832,825,14298241
1821,978,1415,1932171
390,3817,1731,-6455127
3393,3403,668,9239245
572,12,231,324412
2398,2030,716,4296924
1946,1986,146,3496960
2477,2308,836,4206041
501,1245,1271,-1331394
496,283,1117,-70095
2378,3434,1930,-972736
4905,10,517,24053855
4962,4928,267,23305668
4321,2976,99,18376417
4347,834,1387,17739651
1042,3042,807,-1369130
564,849,1053,-575901
152,1606,1330,-2112876
1450,4568,105,1622860
4104,724,755,16296196
3080,1751,69,9365581
3872,3146,1701,9641038
2533,879,882,5640811
4515,3487,8,20357329
2671,4003,315,5873296
507,4539,505,-2035146
2862,1510,555,7352994
4593,1949,1041,19066740
4551,1236,781,19746285
1322,1078,1328,316100
4794,11,1789,22962757
2905,1721,888,6910777
4845,1484,348,22957593
779,2285,1412,-2619579
2699,2649,742,5319043
4983,1243,829,23799842
617,473,1065,-123056
137,4325,1069,-4604656
1334,4199,937,-2154907
1662,1374,296,2355540
3693,731,1547,12507392
1840,1340,157,3175220
2942,3248,1239,4631092
1404,4211,193,1158493
4922,2265,707,22624729
2857,185,1020,7973749
1792,4901,408,1211656
2854,3968,370,6677156
1413,1474,163,1756307
211,4578,1977,-9006185
63,4995,1742,-8697321
1513,765,1593,1070524
795,1284,1460,-1242615
1121,3436,534,-578183
2263,2414,220,4590089
3920,2608,703,13532976
1108,2090,1426,-1752676
1625,1762,1417,143871
3872,713,648,14530360
315,2771,441,-1122786
2518,2676,1517,2280832
642,3522,781,-2338518
2108,3088,1372,206928
4560,1749,241,20372091
2477,2147,1948,1953173
214,2252,1573,-3496600
2448,3999,986,2049690
4465,2618,1248,16668961
3068,52,1937,9311900
1838,4194,1765,-4024166
360,4235,1796,-7476460
4621,1476,365,20814901
2473,3339,1005,2760034
3632,3228,624,11177152
3149,3763,18,9848467
988,3149,1134,-2594822
2346,1410,1950,2754216
2800,1399,26,7803626
400,3287,606,-1831922
865,4949,635,-2394390
1653,2291,215,2239844
895,2579,1265,-2461410
1028,3189,1930,-5097986
1126,1634,240,875716
3058,2538,232,8762548
303,454,156,20985
1297,337,1939,1028766
488,1552,193,-61392
4644,2589,1352,18066408
576,4454,1591,-6754538
3021,915,537,8635086
1571,1227,1847,201772
3416,2974,1578,6976084
275,2576,859,-2137159
88,4971,1702,-8452898
2297,1121,597,4606972
220,3110,1334,-4100340
4697,3392,1267,17764145
1004,4176,539,-1242848
617,741,1039,-389210
3976,4214,1224,10650640
4844,1539,1155,21686791
1664,2182,1036,508344
2401,4411,1085,978866
3756,3346,1929,7653102
65,2509,180,-447395
4718,436,731,21940808
154,99,1745,-149039
1804,567,1773,2249125
3944,3356,1371,10954060
1317,3363,1294,-2617233
2553,2741,307,5676322
3143,570,1737,8888359
957,4002,272,-172695
1307,1248,73,1617145
2333,2839,395,4321484
220,2462,1357,-3292534
2596,2213,1336,3782648
919,3081,607,-1025606
4178,3889,859,14115033
263,2639,491,-1226580
2525,1910,113,6159795
4781,3795,54,22653031
2263,2431,1651,1107588
42,4503,1177,-5298267
1725,1256,1316,1322729
1750,81,1980,2902120
914,4393,176,62228
1155,1512,1513,-953631
3239,1559,1337,8406738
1739,885,1916,1328461
2901,2481,854,6297027
3139,4845,90,9417271
2009,4591,686,886655
679,2812,1685,-4277179
3279,596,840,10251201
3253,2213,718,8993075
1723,2071,180,2595949
2839,1073,355,7679006
4827,2284,1180,20604809
4154,564,1335,16502776
4316,4021,244,17646732
2824,930,1856,6248896
4560,2624,1840,15965440
1990,4237,1560,-2649620
1205,3789,1583,-4545962
2796,483,1385,7148661
4338,1355,1090,17341294
1256,4648,534,-904496
4757,3710,1091,18581439
3056,2184,941,7283992
643,942,376,59257
1324,1089,1665,-60209
2952,3762,580,6532344
3513,3081,1336,8224953
3016,2674,636,7395592
2189,954,219,4582795
63,4887,1952,-9535455
39,1716,1303,-2234427
3843,569,1827,13729086
234,485,656,-263404
2622,3337,1299,2540121
4046,139,1005,16230421
3082,1747,947,7844315
555,1893,366,-384813
4739,2831,1710,17617111
2475,4940,1496,-1264615
4817,4466,868,19327001
2839,3670,1871,1193351
2218,1766,1172,2849772
709,2879,1126,-2739073
192,3406,693,-2323494
1984,3009,903,1219129
4158,2153,873,15409395
4619,4802,1935,12043291
3948,1694,1074,13767348
460,3150,1070,-3158900
281,3690,1896,-6917279
4645,117,953,21464524
3310,1599,1504,8551204
1503,1662,490,1444629
1131,2456,552,-76551
2617,3938,1674,256477
2330,3932,366,3989788
3849,4314,1373,8891679
1612,146,331,2550218
414,773,759,-415311
459,2596,1042,-2494351
2845,1267,137,7920446
3744,3458,366,12751908
741,3276,755,-1924299
4978,4968,1414,17755732
545,1665,721,-903440
2079,4464,1506,-2400543
453,2834,1269,-3391137
3101,4013,668,6935517
3708,382,388,13601048
1305,2315,1516,-1806515
1306,4835,1478,-5440494
2230,3644,746,2254476
4102,4406,108,16350556
2441,2071,1925,1971806
67,2899,186,-534725
2447,3426,1613,461671
4591,1353,767,20039530
1159,4057,220,450741
439,340,612,-15359
3190,4931,1535,2607015
737,650,1349,-333681
2928,1457,1633,6193903
3253,707,1650,9415459
4698,1738,566,21087496
4338,1070,1995,16683594
3015,1668,1707,6242949
60,48,1764,-81072
2282,4930,251,3970094
2430,4187,1602,-802674
967,1799,370,269459
162,4757,54,-230634
4912,1825,1215,21910369
2838,2958,453,6714270
814,1512,107,500812
213,1316,464,-565255
4647,1755,1891,18275904
1295,725,91,1611050
3799,1899,1152,12244753
385,4217,1278,-5241101
4141,82,175,17133531
4734,1873,539,21401209
1108,3092,107,896820
1527,120,195,2308329
3682,4604,1159,8221088
1133,4261,1615,-5597826
202,3945,1177,-4602461
3086,1804,1917,6065128
4497,1518,57,20136483
2092,1438,1755,1852774
2796,1760,1078,5920336
4120,2630,1118,14034060
4096,4269,1111,12034357
783,1144,679,-163687
3474,839,1920,10457796
3997,2753,808,13751585
793,253,856,412281
565,2021,618,-929753
1159,692,1924,11873
4314,1309,1487,16664113
1331,1153,441,1263088
671,3863,54,241639
315,159,713,-14142
1185,4040,797,-1815655
3874,435,1722,14258806
2223,2182,180,4548969
4751,560,1446,21762241
241,1212,1912,-2259263
3764,261,1669,13732087
3695,3165,1912,7601545
3252,3067,1910,4717534
639,624,599,34545
490,4515,1374,-5963510
2442,3641,1507,476377
2706,1366,286,6931760
2168,2063,960,2719744
3279,4521,123,10195758
1043,264,1224,764713
280,3027,1611,-4798097
185,4279,84,-325211
1110,2387,1225,-1691975
258,2184,559,-1154292
2614,2990,950,3992496
3326,3745,1370,5931626
1026,2177,1095,-1331139
2530,3542,1893,-304106
2641,1548,674,5931529
2101,1954,614,3214445
2323,2875,1205,1931954
2632,2011,14,6899270
498,2330,1926,-4239576
4258,1964,845,16470984
3951,1002,1365,14242671
599,3687,1207,-4091408
4403,2861,5,19372104
844,3358,991,-2615442
4690,4113,858,18467146
1592,4926,799,-1401410
715,3875,1870,-6735025
4381,4580,942,14878801
170,90,1256,-84140
3002,4148,1411,3159176
4872,2877,557,22133895
1629,602,1649,1660943
1768,3839,1886,-4114530
1338,3482,370,501904
2794,2794,191,7272782
3949,3286,566,13734725
4093,3817,1788,9927853
4124,3429,31,16901077
1903,4462,79,3268911
3662,4391,1727,5826987
359,618,1149,-581201
2117,1351,746,3473843
2764,917,617,7073907
4601,3772,1242,16484377
662,4317,1060,-4137776
2802,2674,415,6741494
3995,400,389,15804425
4977,2260,1172,22121809
3292,1790,7,10824734
708,2604,951,-1975140
4696,3012,1266,18239224
3990,3598,261,14981022
2432,4048,1429,130032
4049,2985,603,14594446
2633,535,1394,6186899
2218,2119,109,4688553
3754,1929,219,13670065
3266,3846,1118,6366928
2039,3549,950,785971
408,3102,1985,-5991006
26,4371,155,-676829
311,1048,25,70521
3304,405,1859,10163521
1461,4097,1344,-3371847
3956,1646,1943,12451758
1445,4544,1088,-2855847
194,4238,299,-1229526
4828,2811,1354,19503490
2671,438,353,6979627
2114,2684,120,4146916
488,2731,994,-2476470
3437,955,1625,10261094
4270,1506,270,17826280
4784,4348,451,20925708
3028,3821,951,5535013
3032,3845,1291,4229129
1493,2280,1045,-153551
1782,719,888,2537052
3050,407,484,9105512
3200,1309,1294,8546154
4759,4988,223,21535757
1244,2933,1463,-2743443
1018,2653,828,-1160360
2637,1244,1327,5302981
4442,3154,358,18602232
4704,1274,1076,20756792
4067,2767,308,15688253
3410,619,1612,10630272
3944,3182,1954,9337508
1817,1666,1538,739181
4564,4749,1395,14205241
2175,2015,1583,1540880
2712,3547,1042,3658970
3620,4428,268,11917696
112,4361,1727,-7518903
935,354,708,623593
4695,738,446,21713877
9,2072,197,-408103
2306,2923,754,3113694
4649,840,916,20843761
782,1069,1383,-866903
1489,810,702,1648501
3770,903,1567,12797899
4684,592,871,21424224
3535,1513,1148,10759301
109,3306,402,-1317131
4260,4203,43,17966871
38,4168,115,-477876
1987,816,1653,2599321
2522,800,393,6046084
1797,1345,1775,841834
2428,4958,1280,-451056
3611,4937,503,10556010
3052,40,1790,9243104
301,304,929,-191815
1174,4128,20,1295716
3283,4393,1253,5273660
1875,2272,850,1584425
4499,1248,363,19787977
1296,1370,1189,50686
3364,639,715,10859611
1349,635,938,1224171
4807,3414,604,21045193
542,4545,546,-2187806
4846,2137,1951,19314429
349,4806,593,-2728157
4695,4217,1151,17189258
484,3893,634,-2233906
2551,769,1606,5272587
2802,3777,546,5788962
4829,2948,936,20559913
768,2219,24,536568
4170,2386,1843,12991502
3230,4074,1199,5548174
4960,4870,1991,14905430
1737,3173,1276,-1031579
3298,2534,265,10205294
2239,3068,1455,549181
4365,3092,1169,15438677
1312,4282,1316,-3913768
2453,1577,76,5897357
2741,425,1617,6825856
473,2834,336,-728495
176,4270,1043,-4422634
1383,3443,1618,-3658085
4347,4539,1733,11030322
1854,2959,230,2756746
3049,4212,35,9148981
129,2276,930,-2100039
799,288,1765,130081
3634,972,754,12473068
1321,3458,844,-1173511
4185,4030,719,14616655
4433,2262,1420,16439449
947,2857,1611,-3705818
4011,4855,488,13718881
3761,3094,1675,8962671
807,3110,288,-244431
1958,4746,1120,-1481756
1296,4069,1355,-3833879
4154,2714,1580,12967596
3554,2914,923,9941294
4028,1966,629,14988170
4766,394,579,22486630
2605,357,807,6497926
158,1988,462,-893492
3212,2125,1828,6432444
625,796,1174,-543879
2087,509,1568,3557457
770,104,1577,428892
4031,4735,1830,7583911
292,3598,836,-2922664
1104,1573,778,-4978
2790,4614,1589,452454
4125,212,211,16970893
1152,2997,530,-261306
1078,2029,1996,-2887800
2487,1761,622,5089827
4443,1072,710,18979129
4526,3246,85,20208766
2713,1622,1710,4586749
58,4597,944,-4336204
2446,289,1813,5458959
2175,2059,1688,1255033
702,240,983,256884
4412,659,1571,18430455
2282,1474,767,4076966
3635,465,1201,12654760
1254,4129,1929,-6392325
3987,4184,1299,10461153
4139,1560,812,15864601
2905,4788,934,3967033
1793,549,1655,2306254
2026,3251,1537,-892111
811,1898,1468,-2128543
2479,3274,1176,2295217
716,2946,778,-1779332
3845,3609,848,11723593
2327,514,529,5143023
3120,3093,49,9582843
3923,4748,479,13115637
3803,1546,858,13136341
333,4138,508,-1991215
1072,4130,1361,-4471746
2184,594,1358,3963204
3477,2996,135,11685069
1379,1,1187,1900454
580,2307,545,-920915
3117,4995,1976,-154431
463,2742,1774,-4649939
1736,3949,411,1390657
690,2250,1665,-3270150
2701,4705,1498,247311
305,581,565,-235240
4601,702,1834,19881733
3674,833,1370,12357066
3021,985,277,8853596
4765,1111,814,21800871
4498,4870,526,17670384
1283,2630,1500,-2298911
2667,299,361,7004950
978,272,249,888756
2313,3503,801,2544066
2334,1943,1183,3148987
3181,4127,1752,2888257
4499,4735,471,18010816
4804,1944,488,22129744
1888,2087,1279,895271
4621,1325,1869,18877216
633,3334,223,-342793
4907,3807,1548,18185413
1685,4712,1162,-2636119
4323,2487,1601,14706642
2472,2230,287,5470774
249,2113,1180,-2431339
2599,683,457,6442670
3155,4168,1374,4227193
3721,577,643,13474830
4490,3977,167,19495941
2380,3721,1394,477326
500,99,20,248020
3436,432,39,11789248
2304,1215,1961,2925801
1933,2338,520,2520729
4051,231,731,16241740
3756,3249,209,13428495
569,2412,719,-1410467
3582,4958,1210,6831544
4571,3055,1116,17484661
2726,3616,46,7264740
3393,3623,681,9045186
1472,3937,1522,-3825330
4941,1259,1358,22703759
125,4571,338,-1529373
2086,1558,915,2925826
924,294,70,833196
970,3350,336,-184700
2223,2597,1347,1443570
4599,4502,554,18656693
585,1644,1040,-1367535
2818,1011,641,7293073
3484,1117,675,11384281
908,3535,377,-508231
461,2914,1593,-4429481
2871,209,1361,7958192
4812,4557,1585,15932499
841,367,488,528185
3752,4896,824,10043200
1274,147,712,1518412
578,4488,239,-738548
2714,3753,508,5459272
539,2786,1011,-2526125
155,960,422,-381095
4194,171,808,17451468
1074,3995,1191,-3604569
2158,2258,675,3132814
2098,3526,229,3594150
3499,2917,301,11364984
2428,400,786,5580784
2801,1476,818,6638233
2498,109,1594,6066258
1655,3325,422,1335875
1828,2010,112,3116464
2767,4310,179,6884799
2752,4321,1328,1835216
4548,2576,520,19344784
665,925,998,-480925
183,1465,149,-184796
2725,4477,415,5567670
3080,1520,946,8048480
105,770,1700,-1297975
2392,3559,1279,1169703
16,552,1687,-930968
2181,3085,1236,943701
2214,498,9,4897314
2926,1585,325,8046351
