A,E
2642,496
2643,1800
2644,616
2645,1704
2646,528
2647,2384
2648,2481
2649,2021
2650,2054
2651,805
2652,2146
2653,668
2654,1201
2655,2988
2656,2037
2657,2475
2658,2108
2659,1053
2660,1062
2661,1010
2662,2227
2663,2970
2664,1256
2665,1150
2666,2038
2667,2342
2668,2453
2669,401
2670,1859
2671,1581
2672,567
2673,2036
2674,299
2675,2505
2676,1312
2677,452
2678,435
2679,401
2680,546
2681,768
2682,135
2683,2606
2684,2078
2685,324
2686,1411
2687,681
2688,2050
2689,247
2690,2643
2691,777
2692,1812
2693,348
2694,870
2695,2121
2696,651
2697,2366
2698,1259
2699,616
2700,1003
2701,1406
2702,2672
2703,1058
2704,1283
2705,118
2706,127
2707,116
2708,2763
2709,123
2710,2497
2711,1581
2712,1419
2713,2863
2714,341
2715,2053
2716,946
2717,2647
2718,1000
2719,2175
2720,2195
2721,976
2722,2454
2723,2938
2724,59
2725,2660
2726,2582
2727,484
2728,9
2729,2204
2730,398
2731,104
2732,1318
2733,1167
2734,18
2735,582
2736,212
2737,2813
2738,1625
2739,1929
2740,952
2741,812
2742,443
2743,2823
2744,2250
2745,1393
2746,967
2747,137
2748,2256
2749,2697
2750,2133
2751,2732
2752,2817
2753,192
2754,854
2755,1328
2756,1253
2757,1069
2758,821
2759,2394
2760,2781
2761,2633
2762,2554
2763,985
2764,568
2765,382
2766,1155
2767,2559
2768,758
2769,2007
2770,2826
2771,2231
2772,156
2773,756
2774,1949
2775,1342
2776,1000
2777,2911
2778,2657
2779,1044
2780,1128
2781,1904
2782,1977
2783,2122
2784,1990
2785,1523
2786,2085
2787,1842
2788,1366
2789,384
2790,291
2791,1256
2792,1487
2793,2709
2794,1703
2795,933
2796,1159
2797,745
2798,395
2799,1294
2800,2703
2801,1203
2802,1600
2803,749
2804,1311
2805,1448
2806,2406
2807,1047
2808,326
2809,1456
2810,2503
2811,346
2812,2508
2813,1221
2814,1646
2815,722
2816,2878
2817,2743
2818,738
2819,1115
2820,1786
2821,670
2822,1866
2823,573
2824,2070
2825,1399
2826,1137
2827,1431
2828,2541
2829,386
2830,2574
2831,2160
2832,1597
2833,2317
2834,2031
2835,553
2836,835
2837,218
2838,2057
2839,757
2840,1465
2841,1534
2842,1198
2843,2450
2844,734
2845,1081
2846,264
2847,1792
2848,1296
2849,2080
2850,391
2851,2435
2852,1374
2853,2261
2854,2183
2855,259
2856,2812
2857,890
2858,2197
2859,816
2860,1915
2861,2518
2862,982
2863,2005
2864,992
2865,2079
2866,613
2867,2453
2868,1918
2869,1466
2870,2805
2871,612
2872,284
2873,2080
2874,1685
2875,382
2876,2598
2877,788
2878,2918
2879,852
2880,2895
2881,701
2882,2367
2883,316
2884,1907
2885,613
2886,640
2887,783
2888,687
2889,1052
2890,1212
2891,2687
2892,600
2893,1955
2894,2332
2895,1307
2896,1310
2897,914
2898,1326
2899,1943
2900,930
2901,173
2902,2043
2903,58
2904,2114
2905,2892
2906,2142
2907,2419
2908,1973
2909,2686
2910,38
2911,696
2912,1802
2913,2553
2914,1936
2915,2563
2916,645
2917,2362
2918,2228
2919,1770
2920,291
2921,1430
2922,1805
2923,181
2924,2678
2925,2101
2926,1926
2927,1229
2928,2729
2929,1965
2930,2774
2931,1811
2932,2677
2933,24
2934,2434
2935,723
2936,2900
2937,2397
2938,2781
2939,1398
2940,2491
2941,2789
2942,852
2943,1506
2944,2011
2945,1684
2946,1749
2947,271
2948,679
2949,705
2950,2849
2951,1447
2952,318
2953,2207
2954,2481
2955,708
2956,2765
2957,124
2958,467
2959,1716
2960,267
2961,179
2962,615
2963,2291
2964,1579
2965,761
2966,1836
2967,2715
2968,636
2969,287
2970,1001
2971,2247
2972,2091
2973,675
2974,1500
2975,1638
2976,2867
2977,1334
2978,2245
2979,2433
2980,1754
2981,556
2982,1041
2983,2952
2984,627
2985,1211
2986,1499
2987,221
2988,2241
2989,811
2990,2609
2991,2108
2992,152
2993,1409
2994,1477
2995,1356
2996,2821
2997,1495
2998,1465
2999,2993
3000,2287
3001,494
3002,2297
3003,1686
3004,1242
3005,1844
3006,2960
3007,1197
3008,552
3009,2802
3010,2476
3011,226
3012,1038
3013,2802
3014,807
3015,1829
3016,1123
3017,2647
3018,2383
3019,2837
3020,1679
3021,414
3022,1382
3023,408
3024,2964
3025,2404
3026,2239
3027,1010
3028,171
3029,2115
3030,2647
3031,2853
3032,2136
3033,2653
3034,1336
3035,1158
3036,1244
3037,585
3038,2059
3039,1075
3040,1996
3041,1954
3042,2158
3043,887
3044,2365
3045,930
3046,542
3047,1505
3048,788
3049,2016
3050,1724
3051,1817
3052,349
3053,932
3054,1699
3055,1108
3056,570
3057,2805
3058,2473
3059,2568
3060,735
3061,2399
3062,2948
3063,902
3064,1680
3065,465
3066,2941
3067,977
3068,903
3069,2910
3070,1870
3071,2510
3072,1493
3073,874
3074,341
3075,2437
3076,2525
3077,1957
3078,2931
3079,1232
3080,182
3081,1221
3082,823
3083,970
3084,2026
3085,1389
3086,2541
3087,547
3088,2488
3089,1612
3090,489
3091,1466
3092,1485
3093,1318
3094,2739
3095,99
3096,28
3097,967
3098,2646
3099,1689
3100,2007
3101,832
3102,1757
3103,2423
3104,2003
3105,457
3106,1664
3107,60
3108,901
3109,2871
3110,779
3111,558
3112,2983
3113,1686
3114,371
3115,1960
3116,1588
3117,1265
3118,2486
3119,2134
3120,1692
3121,2368
3122,2609
3123,1971
3124,396
3125,1629
3126,928
3127,2366
3128,1097
3129,2965
3130,1131
3131,2660
3132,8
3133,2719
3134,2084
3135,1144
3136,2701
3137,2813
3138,2575
3139,2699
3140,653
3141,191
3142,2464
3143,2342
3144,1116
3145,34
3146,2895
3147,2629
3148,1935
3149,1235
3150,2201
3151,678
3152,804
3153,472
3154,821
3155,2375
3156,724
3157,1945
3158,536
3159,579
3160,1741
3161,1342
3162,1480
3163,1841
3164,1700
3165,1513
3166,1734
3167,1091
3168,1681
3169,483
3170,1243
3171,111
3172,2225
3173,2072
3174,633
3175,1184
3176,2657
3177,1980
3178,2294
3179,528
3180,2947
3181,2352
3182,910
3183,228
3184,1063
3185,350
3186,987
3187,1898
3188,561
3189,2291
3190,665
3191,891
3192,1047
3193,1322
3194,153
3195,2308
3196,2002
3197,2994
3198,848
3199,2405
3200,1064
3201,1943
3202,888
3203,1084
3204,1240
3205,1999
3206,1029
3207,563
3208,1986
3209,1503
3210,437
3211,2027
3212,2391
3213,2341
3214,1514
3215,637
3216,1521
3217,2765
3218,2451
3219,2915
3220,173
3221,2915
3222,497
3223,913
3224,36
3225,2790
3226,1704
3227,2264
3228,552
3229,2978
3230,2147
3231,2652
3232,143
3233,746
3234,990
3235,2170
3236,828
3237,2631
3238,1198
3239,2102
3240,266
3241,788
3242,617
3243,2487
3244,870
3245,533
3246,418
3247,770
3248,441
3249,2542
3250,2073
3251,1013
3252,2359
3253,393
3254,2287
3255,1918
3256,1386
3257,2296
3258,1062
3259,2441
3260,1540
3261,2554
3262,394
3263,1598
3264,107
3265,1216
3266,282
3267,2362
3268,2345
3269,2891
3270,889
3271,1172
3272,2408
3273,2664
3274,1530
3275,2439
3276,390
3277,1281
3278,903
3279,2242
3280,1108
3281,2650
3282,1762
3283,108
3284,662
3285,1547
3286,1483
3287,2493
3288,1868
3289,2696
3290,1659
3291,1450
3292,1736
3293,574
3294,1563
3295,2622
3296,2867
3297,2219
3298,600
3299,5
3300,2273
3301,2966
3302,100
3303,1088
3304,2516
3305,2325
3306,1207
3307,1768
3308,2525
3309,707
3310,1008
3311,1193
3312,2446
3313,1584
3314,1931
3315,683
3316,1328
3317,142
3318,286
3319,631
3320,1555
3321,1064
3322,2517
3323,111
3324,2658
3325,1434
3326,1647
3327,2988
3328,1130
3329,1733
3330,1302
3331,354
3332,427
3333,1041
3334,1131
3335,1114
3336,2418
3337,267
3338,662
3339,220
3340,2562
3341,1895
3342,721
3343,2399
3344,376
3345,254
3346,851
3347,1773
3348,2329
3349,119
3350,6
3351,1779
3352,2821
3353,2960
3354,2020
3355,2531
3356,2885
3357,1861
3358,1903
3359,646
3360,2350
3361,23
3362,260
3363,2607
3364,2922
3365,211
3366,2585
3367,2610
3368,2253
3369,2969
3370,1713
3371,1126
3372,354
3373,324
3374,1061
3375,2153
3376,1556
3377,405
3378,282
3379,2437
3380,458
3381,2481
3382,54
3383,1414
3384,2642
3385,2431
3386,2601
3387,2043
3388,1566
3389,2949
3390,287
3391,1015
3392,1550
3393,2984
3394,1430
3395,2598
3396,2563
3397,1502
3398,478
3399,462
3400,2930
3401,661
3402,2754
3403,1262
3404,989
3405,2542
3406,1142
3407,1974
3408,1037
3409,1581
3410,340
3411,2796
3412,281
3413,86
3414,868
3415,2836
3416,2992
3417,2728
3418,931
3419,2149
3420,475
3421,1150
3422,424
3423,352
3424,118
3425,1911
3426,2274
3427,2680
3428,1429
3429,2863
3430,2720
3431,83
3432,254
3433,1837
3434,2331
3435,547
3436,612
3437,699
3438,1007
3439,1287
3440,1650
3441,2620
3442,2447
3443,1712
3444,613
3445,157
3446,2840
3447,1730
3448,478
3449,1141
3450,467
3451,2638
3452,683
3453,2080
3454,371
3455,18
3456,712
3457,23
3458,1921
3459,2014
3460,2772
3461,446
3462,2747
3463,2115
3464,403
3465,1528
3466,1875
3467,1419
3468,694
3469,1552
3470,1690
3471,1801
3472,433
3473,903
3474,2587
3475,2112
3476,69
3477,788
3478,1086
3479,2165
3480,2433
3481,997
3482,2556
3483,2485
3484,986
3485,1399
3486,2569
3487,293
3488,1221
3489,508
3490,1786
3491,2838
3492,1256
3493,654
3494,1298
3495,388
3496,1508
3497,2018
3498,865
3499,1684
3500,642
3501,592
3502,1381
3503,1290
3504,1313
3505,1016
3506,1970
3507,1308
3508,575
3509,2067
3510,368
3511,86
3512,2659
3513,160
3514,498
3515,296
3516,2035
3517,2222
3518,496
3519,756
3520,2795
3521,2686
3522,2374
3523,1927
3524,2343
3525,1908
3526,251
3527,386
3528,2612
3529,2624
3530,1840
3531,1811
3532,2217
3533,2123
3534,1525
3535,449
3536,1555
3537,2310
3538,2146
3539,1415
3540,2168
3541,2251
3542,1397
3543,1172
3544,2907
3545,934
3546,1895
3547,254
3548,2685
3549,1082
3550,794
3551,2539
3552,1782
3553,2478
3554,1807
3555,2383
3556,1840
3557,1107
3558,55
3559,934
3560,1119
3561,2780
3562,1099
3563,23
3564,2634
3565,1450
3566,869
3567,2995
3568,407
3569,2584
3570,1177
3571,67
3572,1642
3573,2580
3574,35
3575,1043
3576,102
3577,1214
3578,160
3579,2882
3580,2216
3581,1480
3582,2392
3583,996
3584,547
3585,346
3586,2287
3587,585
3588,2950
3589,946
3590,2938
3591,2497
3592,579
3593,823
3594,1847
3595,132
3596,981
3597,688
3598,2190
3599,331
3600,1783
3601,957
3602,1823
3603,2751
3604,1525
3605,850
3606,1715
3607,25
3608,2643
3609,2971
3610,156
3611,733
3612,1607
3613,206
3614,1177
3615,295
3616,1706
3617,1546
3618,2532
3619,322
3620,457
3621,1485
3622,580
3623,1594
3624,869
3625,997
3626,796
3627,1529
3628,1295
3629,1448
3630,1072
3631,221
3632,670
3633,2084
3634,2934
3635,680
3636,479
3637,111
3638,2803
3639,2470
3640,1496
3641,2343
3642,1343
3643,46
3644,1551
3645,1913
3646,692
3647,2787
3648,2077
3649,2506
3650,2029
3651,1361
3652,1432
3653,921
3654,684
3655,115
3656,2911
3657,2641
3658,478
3659,1430
3660,2647
3661,2631
3662,493
3663,1016
3664,440
3665,2770
3666,1399
3667,1762
3668,41
3669,856
3670,2566
3671,717
3672,2923
3673,600
3674,386
3675,2439
3676,2316
3677,2185
3678,1638
3679,1698
3680,2912
3681,1675
3682,238
3683,1130
3684,579
3685,893
3686,2370
3687,2696
3688,1776
3689,726
3690,2415
3691,2442
3692,155
3693,1735
3694,1465
3695,556
3696,264
3697,715
3698,1563
3699,595
3700,2272
3701,2757
3702,2378
3703,2152
3704,2069
3705,2225
3706,381
3707,2973
3708,1557
3709,2737
3710,25
3711,178
3712,196
3713,188
3714,922
3715,74
3716,2633
3717,1135
3718,869
3719,1123
3720,497
3721,580
3722,2974
3723,2976
3724,2023
3725,2332
3726,1906
3727,2992
3728,2208
3729,2864
3730,1393
3731,2819
3732,2295
3733,2664
3734,1191
3735,2434
3736,1025
3737,1860
3738,1891
3739,695
3740,2977
3741,428
3742,2517
3743,1903
3744,1281
3745,2949
3746,542
3747,528
3748,1978
3749,1151
3750,184
3751,1696
3752,587
3753,1160
3754,2180
3755,704
3756,2043
3757,2482
3758,61
3759,660
3760,370
3761,1773
3762,1336
3763,1798
3764,2191
3765,122
3766,283
3767,763
3768,2137
3769,1043
3770,727
3771,1892
3772,1577
3773,2273
3774,910
3775,1175
3776,2096
3777,1902
3778,1150
3779,1323
3780,553
3781,789
3782,1930
3783,391
3784,1519
3785,230
3786,2511
3787,2993
3788,648
3789,294
3790,413
3791,782
3792,87
3793,2004
3794,1329
3795,2002
3796,2969
3797,877
3798,1525
3799,300
3800,301
3801,172
3802,1166
3803,1893
3804,466
3805,2329
3806,353
3807,1898
3808,2610
3809,2806
3810,2704
3811,1618
3812,193
3813,2600
3814,537
3815,1261
3816,407
3817,711
3818,1359
3819,1280
3820,712
3821,1074
3822,454
3823,1115
3824,531
3825,709
3826,222
3827,1720
3828,139
3829,968
3830,880
3831,1228
3832,2825
3833,2556
3834,2498
3835,2741
3836,1719
3837,2152
3838,1293
3839,1787
3840,244
3841,2727
3842,1340
3843,2169
3844,851
3845,1076
3846,2880
3847,2637
3848,2628
3849,1847
3850,606
3851,2831
3852,2000
3853,2277
3854,2498
3855,1470
3856,1064
3857,375
3858,2955
3859,829
3860,2095
3861,2404
3862,2554
3863,869
3864,1431
3865,2428
3866,2695
3867,885
3868,2649
3869,529
3870,1747
3871,1713
3872,1418
3873,209
3874,2057
3875,983
3876,2945
3877,1186
3878,860
3879,2025
3880,2599
3881,1719
3882,211
3883,11
3884,187
3885,2291
3886,2737
3887,2352
3888,1409
3889,2793
3890,1278
3891,1343
3892,649
3893,261
3894,2785
3895,43
3896,2296
3897,2921
3898,233
3899,2319
3900,1154
3901,2850
3902,661
3903,970
3904,105
3905,2615
3906,256
3907,384
3908,1350
3909,1772
3910,2139
3911,1200
3912,1273
3913,694
3914,2936
3915,111
3916,427
3917,1118
3918,1852
3919,2618
3920,1835
3921,2942
3922,2987
3923,1643
3924,1297
3925,197
3926,2209
3927,2345
3928,1020
3929,1616
3930,138
3931,1357
3932,2492
3933,822
3934,1942
3935,1816
3936,1583
3937,682
3938,1604
3939,1485
3940,2528
3941,1169
3942,1252
3943,1791
3944,43
3945,2779
3946,387
3947,2887
3948,1381
3949,266
3950,57
3951,2558
3952,88
3953,120
3954,1164
3955,2905
3956,2606
3957,964
3958,2276
3959,2532
3960,1846
3961,2778
3962,2163
3963,2092
3964,455
3965,1179
3966,2027
3967,1597
3968,889
3969,2542
3970,18
3971,1338
3972,1726
3973,1718
3974,1568
3975,2412
3976,1231
3977,2618
3978,1187
3979,430
3980,1028
3981,1814
3982,660
3983,2718
3984,148
3985,236
3986,2502
3987,1570
3988,1363
3989,436
3990,2754
3991,652
3992,61
3993,1113
3994,583
3995,1517
3996,1384
3997,951
3998,2760
3999,1443
4000,1969
4001,980
4002,2435
4003,1890
4004,2542
4005,1449
4006,1575
4007,595
4008,2244
4009,1735
4010,1208
4011,2673
4012,2973
4013,2712
4014,2811
4015,427
4016,2381
4017,743
4018,2821
4019,107
4020,63
4021,2786
4022,539
4023,36
4024,2107
4025,1447
4026,2695
4027,2894
4028,2540
4029,1524
4030,1788
4031,1234
4032,2408
4033,2282
4034,1781
4035,2498
4036,2590
4037,2125
4038,25
4039,302
4040,631
4041,2193
4042,2937
4043,2444
4044,1371
4045,1653
4046,2063
4047,2991
4048,2996
4049,1492
4050,1391
4051,1830
4052,1769
4053,2286
4054,2117
4055,1141
4056,2362
4057,2421
4058,399
4059,871
4060,182
4061,1789
4062,1493
4063,1988
4064,1256
4065,2708
4066,90
4067,49
4068,314
4069,1132
4070,2731
4071,87
4072,1955
4073,1265
4074,1945
4075,1776
4076,155
4077,1161
4078,1713
4079,1621
4080,1279
4081,1943
4082,522
4083,2433
4084,1609
4085,988
4086,2351
4087,853
4088,2816
4089,1799
4090,2017
4091,482
4092,327
4093,1881
4094,2205
4095,2280
4096,843
4097,1395
4098,502
4099,627
4100,287
4101,2647
4102,294
4103,2174
4104,752
4105,487
4106,503
4107,325
4108,914
4109,2408
4110,123
4111,1914
4112,773
4113,1148
4114,2547
4115,2936
4116,53
4117,2932
4118,2629
4119,1338
4120,1507
4121,2820
4122,1124
4123,479
4124,971
4125,193
4126,1356
4127,860
4128,9
4129,2374
4130,1565
4131,2291
4132,2033
4133,767
4134,1787
4135,428
4136,2748
4137,1453
4138,1827
4139,161
4140,586
4141,2600
4142,1938
4143,590
4144,561
4145,2386
4146,1688
4147,2895
4148,1990
4149,1091
4150,1379
4151,2845
4152,1245
4153,1457
4154,1132
4155,2174
4156,640
4157,1505
4158,489
4159,1548
4160,2148
4161,163
4162,857
4163,802
4164,1554
4165,2407
4166,567
4167,2622
4168,2469
4169,2750
4170,1378
4171,1536
4172,198
4173,1669
4174,2187
4175,2692
4176,238
4177,2158
4178,1515
4179,1898
4180,2817
4181,1624
4182,874
4183,2750
4184,1933
4185,2300
4186,1408
4187,2897
4188,864
4189,1265
4190,294
4191,773
4192,1412
4193,1052
4194,2071
4195,2704
4196,1731
4197,251
4198,1763
4199,2155
4200,72
4201,1870
4202,2466
4203,1636
4204,2967
4205,2834
4206,427
4207,1358
4208,1257
4209,43
4210,2253
4211,1721
4212,1813
4213,940
4214,2723
4215,2845
4216,2309
4217,1983
4218,2996
4219,2576
4220,2867
4221,35
4222,812
4223,200
4224,1754
4225,1316
4226,1736
4227,2320
4228,419
4229,627
4230,1187
4231,1126
4232,135
4233,2052
4234,1906
4235,2809
4236,393
4237,2786
4238,96
4239,1174
4240,1286
4241,958
4242,1619
4243,1738
4244,2811
4245,1676
4246,945
4247,596
4248,532
4249,1447
4250,2895
4251,2855
4252,947
4253,2421
4254,2306
4255,703
4256,2570
4257,1096
4258,916
4259,77
4260,1781
4261,2725
4262,701
4263,474
4264,2328
4265,2764
4266,605
4267,2573
4268,1869
4269,2343
4270,1453
4271,700
4272,368
4273,1956
4274,1675
4275,2360
4276,1822
4277,2134
4278,1354
4279,2088
4280,1428
4281,608
4282,2465
4283,2055
4284,2790
4285,762
4286,2113
4287,361
4288,1767
4289,1290
4290,977
4291,638
4292,249
4293,1065
4294,627
4295,35
4296,1128
4297,2287
4298,1841
4299,1058
4300,851
4301,924
4302,2569
4303,2797
4304,954
4305,2671
4306,740
4307,2561
4308,1981
4309,2590
4310,2475
4311,2034
4312,382
4313,2388
4314,389
4315,1958
4316,937
4317,1454
4318,1322
4319,679
4320,323
4321,1458
4322,2756
4323,82
4324,2021
4325,887
4326,154
4327,1138
4328,2408
4329,536
4330,1640
4331,1849
4332,2623
4333,1033
4334,582
4335,2884
4336,17
4337,2762
4338,866
4339,1093
4340,2808
4341,2939
4342,1513
4343,1297
4344,2918
4345,1889
4346,659
4347,478
4348,45
4349,686
4350,2686
4351,2542
4352,2181
4353,1812
4354,1745
4355,2614
4356,1142
4357,2768
4358,1724
4359,1040
4360,15
4361,807
4362,1683
4363,2083
4364,36
4365,1014
4366,1568
4367,904
4368,2593
4369,1238
4370,225
4371,892
4372,1054
4373,354
4374,612
4375,400
4376,2844
4377,726
4378,2806
4379,2775
4380,1023
4381,2044
4382,2712
4383,903
4384,2000
4385,2782
4386,2447
4387,2206
4388,2158
4389,1135
4390,1894
4391,2550
4392,2027
4393,1373
4394,2097
4395,466
4396,1109
4397,1320
4398,1608
4399,1533
4400,2240
4401,1885
4402,414
4403,2946
4404,1923
4405,1681
4406,878
4407,2437
4408,96
4409,637
4410,569
4411,1308
4412,1902
4413,412
4414,2896
4415,67
4416,1478
4417,528
4418,2413
4419,1394
4420,2649
4421,2725
4422,1119
4423,2448
4424,1830
4425,2443
4426,2798
4427,2705
4428,1891
4429,620
4430,1657
4431,927
4432,945
4433,1330
4434,1116
4435,2579
4436,9
4437,709
4438,1152
4439,2653
4440,665
4441,66
4442,1034
4443,2006
4444,1886
4445,645
4446,20
4447,1102
4448,608
4449,628
4450,799
4451,1987
4452,1596
4453,2334
4454,1557
4455,1925
4456,1798
4457,137
4458,2408
4459,2566
4460,2794
4461,1042
4462,1694
4463,249
4464,968
4465,1181
4466,2266
4467,1616
4468,1403
4469,1581
4470,2418
4471,1473
4472,1579
4473,2133
4474,1822
4475,2983
4476,1575
4477,203
4478,1547
4479,1386
4480,2834
4481,462
4482,382
4483,175
4484,706
4485,249
4486,1796
4487,33
4488,172
4489,252
4490,213
4491,141
4492,1968
4493,1209
4494,1528
4495,2380
4496,1788
4497,2836
4498,1484
4499,683
4500,1152
4501,2785
4502,911
4503,1411
4504,1097
4505,1225
4506,321
4507,109
4508,2459
4509,2785
4510,2252
4511,28
4512,2828
4513,1708
4514,299
4515,21
4516,1363
4517,550
4518,725
4519,384
4520,570
4521,365
4522,2379
4523,1570
4524,461
4525,2512
4526,2558
4527,2384
4528,1691
4529,198
4530,2596
4531,379
4532,601
4533,2729
4534,872
4535,1816
4536,38
4537,1205
4538,1546
4539,1090
4540,1889
4541,1568
4542,920
4543,1428
4544,2842
4545,2859
4546,870
4547,177
4548,338
4549,500
4550,496
4551,480
4552,1109
4553,61
4554,392
4555,2371
4556,314
4557,2886
4558,211
4559,1144
4560,2900
4561,2891
4562,10
4563,925
4564,167
4565,1582
4566,1351
4567,1287
4568,902
4569,186
4570,600
4571,1395
4572,1574
4573,1563
4574,415
4575,2767
4576,2452
4577,1295
4578,1885
4579,1920
4580,696
4581,908
4582,1951
4583,139
4584,2814
4585,2305
4586,2020
4587,2458
4588,647
4589,2940
4590,1817
4591,1955
4592,608
4593,2355
4594,2165
4595,1592
4596,1814
4597,2115
4598,2827
4599,1377
4600,605
4601,1122
4602,2845
4603,2491
4604,1955
4605,177
4606,1342
4607,1421
4608,348
4609,1830
4610,2296
4611,1982
4612,2594
4613,1519
4614,2234
4615,1184
4616,1932
4617,1626
4618,2651
4619,1358
4620,1654
4621,1404
4622,1746
4623,1873
4624,1038
4625,86
4626,351
4627,2574
4628,1186
4629,1472
4630,1110
4631,1129
4632,1335
4633,455
4634,645
4635,2137
4636,365
4637,1759
4638,2292
4639,2139
4640,2511
4641,2513
4642,205
4643,2566
4644,1122
4645,1088
4646,1573
4647,436
4648,2655
4649,2112
4650,1137
4651,798
4652,2978
4653,688
4654,255
4655,11
4656,2822
4657,2760
4658,1914
4659,1385
4660,533
4661,992
4662,1138
4663,2668
4664,228
4665,905
4666,1182
4667,1214
4668,674
4669,308
4670,1407
4671,92
4672,1185
4673,2628
4674,1030
4675,1929
4676,1017
4677,1069
4678,238
4679,1346
4680,2328
4681,1413
4682,2250
4683,460
4684,747
4685,2720
4686,1209
4687,468
4688,663
4689,1179
4690,1598
4691,1491
4692,285
4693,1493
4694,1471
4695,2019
4696,287
4697,612
4698,482
4699,1085
4700,2306
4701,2227
4702,2594
4703,1503
4704,1608
4705,1264
4706,1240
4707,33
4708,2610
4709,718
4710,1681
4711,2590
4712,1241
4713,389
4714,2012
4715,117
4716,84
4717,53
4718,2177
4719,1170
4720,676
4721,577
4722,2374
4723,1083
4724,2273
4725,1452
4726,2918
4727,760
4728,990
4729,2803
4730,2888
4731,2630
4732,183
4733,1065
4734,1963
4735,172
4736,832
4737,1059
4738,760
4739,1038
4740,1050
4741,2348
4742,685
4743,394
4744,2586
4745,1403
4746,814
4747,1607
4748,2448
4749,909
4750,2408
4751,2802
4752,820
4753,2305
4754,154
4755,1637
4756,2539
4757,2956
4758,281
4759,143
4760,2068
4761,655
4762,1895
4763,2304
4764,1659
4765,2699
4766,2146
4767,2169
4768,1517
4769,1629
4770,1363
4771,663
4772,677
4773,2120
4774,2705
4775,1475
4776,1604
4777,2977
4778,2138
4779,1899
4780,2206
4781,2919
4782,1439
4783,2553
4784,2926
4785,1571
4786,1730
4787,2717
4788,2210
4789,1205
4790,1584
4791,173
4792,2164
4793,1300
4794,803
4795,2819
4796,2965
4797,469
4798,150
4799,735
4800,2656
4801,2379
4802,323
4803,567
4804,1792
4805,394
4806,826
4807,1733
4808,1323
4809,909
4810,140
4811,369
4812,1405
4813,191
4814,492
4815,1288
4816,2543
4817,2280
4818,2574
4819,394
4820,2636
4821,2450
4822,842
4823,1994
4824,2564
4825,1004
4826,818
4827,2069
4828,429
4829,1854
4830,45
4831,41
4832,610
4833,1378
4834,770
4835,2013
4836,1065
4837,1516
4838,995
4839,2890
4840,1214
4841,2550
4842,1352
4843,1684
4844,1400
4845,524
4846,2519
4847,645
4848,1673
4849,1636
4850,50
4851,1322
4852,1017
4853,509
4854,1837
4855,49
4856,1605
4857,154
4858,957
4859,1051
4860,475
4861,2293
4862,1841
4863,183
4864,962
4865,912
4866,589
4867,2755
4868,1104
4869,1192
4870,1594
4871,1653
4872,969
4873,1600
4874,2311
4875,2767
4876,1369
4877,1585
4878,703
4879,914
4880,1238
4881,540
4882,157
4883,1693
4884,1701
4885,1539
4886,2720
4887,2512
4888,2918
4889,462
4890,2357
4891,572
4892,2814
4893,992
4894,2932
4895,2414
4896,2387
4897,2733
4898,1358
4899,54
4900,1216
4901,832
4902,2552
4903,195
4904,2208
4905,2012
4906,2891
4907,182
4908,2532
4909,1621
4910,1037
4911,1132
4912,2621
4913,1748
4914,2722
4915,104
4916,1617
4917,1092
4918,1159
4919,1119
4920,1041
4921,1149
4922,1902
4923,1246
4924,1391
4925,34
4926,2411
4927,1187
4928,2064
4929,668
4930,850
4931,1988
4932,1726
4933,2903
4934,2158
4935,1560
4936,1595
4937,998
4938,754
4939,2635
4940,2760
4941,881
4942,1567
4943,2553
4944,1981
4945,2376
4946,1429
4947,1928
4948,2413
4949,1511
4950,1108
4951,1426
4952,1474
4953,2909
4954,2030
4955,220
4956,113
4957,2032
4958,2281
4959,1287
4960,450
4961,1358
4962,269
4963,121
4964,234
4965,132
4966,2620
4967,1290
4968,572
4969,2687
4970,438
4971,1142
4972,2964
4973,1648
4974,617
4975,2475
4976,589
4977,765
4978,2049
4979,1112
4980,977
4981,2716
4982,56
4983,1051
4984,1427
4985,2839
4986,2250
4987,2799
4988,719
4989,2720
4990,115
4991,997
4992,715
4993,2552
4994,2421
4995,476
4996,361
4997,2276
4998,45
4999,497
5000,2433
