B,F
2536,3884
2537,8925
2538,1086
2539,5730
2540,6313
2541,4012
2542,8800
2543,644
2544,119
2545,2815
2546,1831
2547,2793
2548,1937
2549,3114
2550,4155
2551,5814
2552,2377
2553,2319
2554,5862
2555,6312
2556,8572
2557,3080
2558,63
2559,7195
2560,251
2561,9520
2562,5692
2563,8997
2564,5946
2565,7518
2566,933
2567,4881
2568,7397
2569,5623
2570,3783
2571,6054
2572,5807
2573,1968
2574,527
2575,228
2576,2820
2577,2204
2578,8457
2579,8832
2580,2915
2581,8505
2582,2587
2583,3416
2584,8273
2585,6736
2586,6526
2587,5123
2588,7137
2589,2719
2590,8871
2591,8173
2592,3633
2593,9782
2594,9889
2595,826
2596,6013
2597,9008
2598,3302
2599,8381
2600,1046
2601,6918
2602,2973
2603,5331
2604,7234
2605,2894
2606,8341
2607,4832
2608,4100
2609,532
2610,5336
2611,9451
2612,5523
2613,9852
2614,1653
2615,6834
2616,6302
2617,9490
2618,4631
2619,3201
2620,8949
2621,486
2622,8604
2623,1620
2624,8559
2625,290
2626,6546
2627,4395
2628,5521
2629,9684
2630,4173
2631,2102
2632,3854
2633,2215
2634,9343
2635,8504
2636,3667
2637,4473
2638,2962
2639,2614
2640,6110
2641,6744
2642,5154
2643,4128
2644,7897
2645,9135
2646,1836
2647,863
2648,4517
2649,1712
2650,3299
2651,4081
2652,8412
2653,8290
2654,2580
2655,1208
2656,7608
2657,7088
2658,510
2659,2869
2660,5734
2661,7770
2662,4357
2663,8844
2664,5331
2665,1996
2666,2164
2667,4942
2668,7912
2669,4624
2670,9619
2671,1321
2672,7495
2673,9949
2674,9538
2675,5077
2676,5385
2677,9606
2678,2192
2679,7939
2680,8807
2681,4096
2682,667
2683,4677
2684,5628
2685,5151
2686,4184
2687,3564
2688,4313
2689,8594
2690,1394
2691,793
2692,1479
2693,6254
2694,8033
2695,8870
2696,5354
2697,2306
2698,9087
2699,8159
2700,9521
2701,275
2702,5896
2703,9676
2704,8816
2705,5592
2706,6124
2707,5384
2708,7628
2709,1174
2710,806
2711,8583
2712,103
2713,6122
2714,7458
2715,4676
2716,6374
2717,2667
2718,7652
2719,7425
2720,3925
2721,9207
2722,2997
2723,230
2724,3167
2725,4410
2726,5367
2727,7920
2728,5419
2729,7723
2730,245
2731,7167
2732,5634
2733,1871
2734,3924
2735,353
2736,8717
2737,8985
2738,6749
2739,957
2740,1239
2741,7317
2742,6512
2743,2693
2744,8167
2745,8814
2746,345
2747,9851
2748,8102
2749,1404
2750,3718
2751,104
2752,8322
2753,749
2754,5940
2755,3103
2756,6085
2757,5568
2758,6378
2759,8011
2760,3026
2761,2288
2762,9747
2763,9933
2764,5226
2765,3101
2766,473
2767,6286
2768,3059
2769,415
2770,8007
2771,6931
2772,8934
2773,2329
2774,9588
2775,3119
2776,81
2777,1347
2778,3266
2779,2748
2780,3580
2781,2377
2782,993
2783,1602
2784,2071
2785,7544
2786,696
2787,3918
2788,7583
2789,209
2790,1528
2791,9185
2792,4671
2793,2187
2794,7334
2795,7536
2796,6249
2797,2173
2798,1000
2799,305
2800,6197
2801,5108
2802,8667
2803,2855
2804,5158
2805,6141
2806,5860
2807,123
2808,2082
2809,7665
2810,9892
2811,4520
2812,695
2813,2707
2814,3262
2815,4373
2816,1713
2817,4920
2818,2831
2819,3136
2820,8682
2821,4042
2822,6499
2823,7451
2824,1527
2825,8298
2826,2508
2827,3250
2828,2645
2829,5636
2830,8394
2831,8824
2832,4673
2833,5267
2834,1875
2835,439
2836,9249
2837,8542
2838,661
2839,5920
2840,4496
2841,9427
2842,25
2843,8613
2844,3513
2845,4624
2846,1249
2847,6148
2848,5822
2849,4086
2850,9223
2851,1008
2852,1644
2853,8581
2854,5268
2855,2164
2856,9861
2857,6588
2858,437
2859,3481
2860,2453
2861,6448
2862,7444
2863,2805
2864,5053
2865,5981
2866,8427
2867,6434
2868,9927
2869,7308
2870,6259
2871,7775
2872,5238
2873,3499
2874,5172
2875,3930
2876,4142
2877,4002
2878,7345
2879,9874
2880,9412
2881,4054
2882,273
2883,7580
2884,957
2885,8878
2886,662
2887,1394
2888,4231
2889,1160
2890,7372
2891,4557
2892,2415
2893,7545
2894,6041
2895,7816
2896,922
2897,925
2898,180
2899,9704
2900,7181
2901,1449
2902,2835
2903,6490
2904,930
2905,8689
2906,9132
2907,1467
2908,2489
2909,6620
2910,2461
2911,5930
2912,1748
2913,9667
2914,8269
2915,962
2916,2696
2917,4785
2918,9182
2919,399
2920,7516
2921,3281
2922,7163
2923,1239
2924,8624
2925,5507
2926,3500
2927,3041
2928,487
2929,9116
2930,7323
2931,1257
2932,679
2933,1129
2934,7295
2935,7373
2936,8895
2937,2867
2938,611
2939,4754
2940,8927
2941,6751
2942,8687
2943,8571
2944,3829
2945,8706
2946,8070
2947,4382
2948,7600
2949,3709
2950,4766
2951,8646
2952,2523
2953,3869
2954,3905
2955,5480
2956,5013
2957,6617
2958,4457
2959,549
2960,5512
2961,3574
2962,3443
2963,8776
2964,1356
2965,135
2966,5635
2967,9696
2968,1924
2969,3802
2970,7673
2971,4981
2972,2263
2973,8273
2974,1508
2975,376
2976,8986
2977,5680
2978,187
2979,3784
2980,5064
2981,5747
2982,5701
2983,4608
2984,152
2985,8870
2986,847
2987,6997
2988,7561
2989,161
2990,3788
2991,5450
2992,6676
2993,5210
2994,7473
2995,9205
2996,7611
2997,5671
2998,5498
2999,3041
3000,3614
3001,1481
3002,3621
3003,1409
3004,840
3005,6771
3006,7271
3007,8403
3008,9271
3009,2718
3010,206
3011,1522
3012,1854
3013,4418
3014,2531
3015,1779
3016,6651
3017,6118
3018,8905
3019,8431
3020,1263
3021,5296
3022,8407
3023,7843
3024,8247
3025,9204
3026,935
3027,9926
3028,1426
3029,5917
3030,2788
3031,1072
3032,8579
3033,4802
3034,5787
3035,4838
3036,3386
3037,3806
3038,8383
3039,375
3040,8006
3041,5274
3042,4952
3043,1810
3044,7883
3045,8949
3046,5705
3047,2226
3048,7353
3049,4947
3050,5635
3051,2269
3052,9356
3053,2155
3054,9381
3055,7922
3056,786
3057,3781
3058,8994
3059,1312
3060,9785
3061,877
3062,8841
3063,4258
3064,7220
3065,2700
3066,4690
3067,2634
3068,3461
3069,2382
3070,6484
3071,6917
3072,4410
3073,5762
3074,7108
3075,9466
3076,7310
3077,7819
3078,6610
3079,7086
3080,8015
3081,590
3082,6905
3083,7075
3084,3922
3085,9033
3086,3089
3087,435
3088,4201
3089,9601
3090,8508
3091,8170
3092,8180
3093,9999
3094,9293
3095,4408
3096,646
3097,8804
3098,2801
3099,8829
3100,597
3101,5382
3102,241
3103,152
3104,7849
3105,3197
3106,2531
3107,6621
3108,3355
3109,7101
3110,6384
3111,5232
3112,6207
3113,5341
3114,1535
3115,2300
3116,5738
3117,9148
3118,4242
3119,4865
3120,5460
3121,6268
3122,6163
3123,1773
3124,6716
3125,7389
3126,7970
3127,7962
3128,539
3129,814
3130,1566
3131,413
3132,2327
3133,8717
3134,3133
3135,4488
3136,4991
3137,7263
3138,7856
3139,681
3140,7337
3141,104
3142,154
3143,4477
3144,1812
3145,3713
3146,5283
3147,9813
3148,8398
3149,9664
3150,8293
3151,7215
3152,8226
3153,2314
3154,5348
3155,5348
3156,1212
3157,3941
3158,427
3159,9381
3160,1033
3161,3879
3162,8914
3163,1982
3164,9031
3165,7493
3166,8100
3167,9107
3168,1145
3169,8407
3170,2997
3171,5992
3172,5654
3173,6302
3174,8756
3175,9952
3176,208
3177,6427
3178,6985
3179,4067
3180,2710
3181,1230
3182,900
3183,2329
3184,1326
3185,2387
3186,347
3187,2171
3188,497
3189,2766
3190,3699
3191,5967
3192,4629
3193,1115
3194,9209
3195,1533
3196,7042
3197,9355
3198,7464
3199,2755
3200,856
3201,358
3202,5076
3203,2032
3204,8399
3205,9718
3206,40
3207,4445
3208,3173
3209,802
3210,1089
3211,500
3212,9109
3213,7716
3214,152
3215,7775
3216,4460
3217,8729
3218,287
3219,3722
3220,5875
3221,6108
3222,5782
3223,8805
3224,874
3225,4953
3226,1468
3227,1776
3228,5685
3229,3554
3230,9820
3231,3693
3232,129
3233,3789
3234,7100
3235,3884
3236,8166
3237,4112
3238,8181
3239,2635
3240,5220
3241,5742
3242,4080
3243,3983
3244,444
3245,535
3246,7016
3247,1875
3248,4867
3249,4668
3250,7379
3251,7329
3252,5437
3253,9529
3254,3896
3255,4659
3256,7669
3257,5868
3258,469
3259,9504
3260,4212
3261,4825
3262,1669
3263,5197
3264,9707
3265,5058
3266,3801
3267,2391
3268,790
3269,1991
3270,9902
3271,2573
3272,9105
3273,8199
3274,4931
3275,7074
3276,7089
3277,2777
3278,5776
3279,7896
3280,7723
3281,5527
3282,5763
3283,4863
3284,9284
3285,7948
3286,5922
3287,9699
3288,9264
3289,9341
3290,8210
3291,3214
3292,7768
3293,37
3294,3000
3295,8119
3296,5199
3297,3841
3298,2682
3299,5648
3300,9778
3301,638
3302,3504
3303,680
3304,8313
3305,9803
3306,5204
3307,6982
3308,6932
3309,4450
3310,6511
3311,3444
3312,8449
3313,8134
3314,9840
3315,1835
3316,9951
3317,1519
3318,8819
3319,2594
3320,6272
3321,3007
3322,7474
3323,6800
3324,3956
3325,262
3326,1230
3327,1813
3328,7328
3329,3969
3330,1489
3331,7723
3332,520
3333,8026
3334,501
3335,3379
3336,7909
3337,698
3338,8654
3339,6299
3340,3732
3341,851
3342,6248
3343,7577
3344,8771
3345,7251
3346,6798
3347,2124
3348,2884
3349,5555
3350,73
3351,5127
3352,8362
3353,4477
3354,5494
3355,3232
3356,7212
3357,9544
3358,7216
3359,3148
3360,5612
3361,3158
3362,5581
3363,9825
3364,1953
3365,7279
3366,11
3367,6091
3368,1935
3369,7093
3370,3021
3371,7876
3372,9892
3373,7951
3374,1327
3375,1737
3376,6602
3377,9899
3378,11
3379,2596
3380,5310
3381,9844
3382,7495
3383,7541
3384,8962
3385,675
3386,4161
3387,2265
3388,8672
3389,589
3390,4831
3391,924
3392,5233
3393,8210
3394,9206
3395,3183
3396,6566
3397,7798
3398,3504
3399,1337
3400,8762
3401,8297
3402,162
3403,2671
3404,4316
3405,8629
3406,4528
3407,3304
3408,7191
3409,7123
3410,53
3411,99
3412,7156
3413,9461
3414,5188
3415,5366
3416,4312
3417,433
3418,4325
3419,5032
3420,2784
3421,496
3422,7905
3423,9138
3424,1485
3425,593
3426,385
3427,417
3428,548
3429,6522
3430,8139
3431,2515
3432,5957
3433,2852
3434,4378
3435,1845
3436,3693
3437,8344
3438,1448
3439,8373
3440,5757
3441,2768
3442,2659
3443,8212
3444,4345
3445,5354
3446,4690
3447,3325
3448,4556
3449,2226
3450,1765
3451,2282
3452,6196
3453,3359
3454,849
3455,6371
3456,2760
3457,5780
3458,8546
3459,9734
3460,4359
3461,4532
3462,5511
3463,1672
3464,5592
3465,6441
3466,3961
3467,5722
3468,4515
3469,3727
3470,318
3471,3464
3472,4634
3473,4821
3474,3615
3475,6345
3476,5542
3477,9294
3478,404
3479,4892
3480,9532
3481,1081
3482,4530
3483,9242
3484,9032
3485,7094
3486,8226
3487,5050
3488,5169
3489,1748
3490,1542
3491,7009
3492,7993
3493,5825
3494,499
3495,648
3496,864
3497,1237
3498,6085
3499,3666
3500,2595
3501,6373
3502,3728
3503,4297
3504,8062
3505,576
3506,2382
3507,8399
3508,6732
3509,2741
3510,5048
3511,3101
3512,7039
3513,3837
3514,7916
3515,2035
3516,9421
3517,1509
3518,6098
3519,1842
3520,8731
3521,9745
3522,8420
3523,3625
3524,687
3525,3441
3526,628
3527,8713
3528,2802
3529,50
3530,8120
3531,3602
3532,5461
3533,5
3534,3489
3535,3978
3536,835
3537,7329
3538,4471
3539,6717
3540,6938
3541,3114
3542,5028
3543,6090
3544,2799
3545,2068
3546,1662
3547,3207
3548,2859
3549,6010
3550,9283
3551,4493
3552,5580
3553,9889
3554,3312
3555,467
3556,9587
3557,6957
3558,4059
3559,210
3560,2176
3561,6843
3562,4
3563,4473
3564,8548
3565,8960
3566,5634
3567,601
3568,3207
3569,1710
3570,2613
3571,2567
3572,7018
3573,1436
3574,5588
3575,5609
3576,4626
3577,5360
3578,9135
3579,7175
3580,3485
3581,5026
3582,9672
3583,2174
3584,7558
3585,532
3586,4552
3587,1141
3588,3159
3589,6700
3590,3539
3591,4198
3592,404
3593,6110
3594,1393
3595,9538
3596,2678
3597,6800
3598,1549
3599,8622
3600,4663
3601,711
3602,6151
3603,4137
3604,7265
3605,3190
3606,8228
3607,1059
3608,5809
3609,4933
3610,1754
3611,9957
3612,9249
3613,2338
3614,7744
3615,5995
3616,6636
3617,3757
3618,4520
3619,2246
3620,7792
3621,7645
3622,8802
3623,8561
3624,5957
3625,7441
3626,7819
3627,6270
3628,3346
3629,4945
3630,3100
3631,7552
3632,6882
3633,4899
3634,9958
3635,9097
3636,5187
3637,3600
3638,4707
3639,4430
3640,6257
3641,5358
3642,7058
3643,4224
3644,3639
3645,8271
3646,5262
3647,3232
3648,1767
3649,7694
3650,140
3651,5683
3652,5024
3653,3511
3654,5995
3655,3236
3656,2207
3657,6932
3658,2095
3659,6473
3660,7792
3661,9826
3662,4060
3663,1865
3664,8758
3665,8571
3666,398
3667,5489
3668,6165
3669,9118
3670,7046
3671,6926
3672,5498
3673,4270
3674,4779
3675,1602
3676,4326
3677,2097
3678,4131
3679,9940
3680,3877
3681,6098
3682,4899
3683,951
3684,4642
3685,7838
3686,9198
3687,6753
3688,2916
3689,5031
3690,6919
3691,6916
3692,6185
3693,4587
3694,1098
3695,9497
3696,1484
3697,7736
3698,7298
3699,8986
3700,5773
3701,1123
3702,7671
3703,962
3704,6014
3705,6665
3706,5062
3707,6638
3708,9255
3709,8957
3710,6404
3711,8520
3712,7772
3713,532
3714,6746
3715,9865
3716,9632
3717,2061
3718,7593
3719,2944
3720,6083
3721,9470
3722,4634
3723,8374
3724,6319
3725,7345
3726,3818
3727,839
3728,1640
3729,4962
3730,1589
3731,4415
3732,4194
3733,3474
3734,3364
3735,5678
3736,7910
3737,6894
3738,3919
3739,4204
3740,1678
3741,274
3742,5712
3743,2521
3744,7583
3745,2899
3746,9441
3747,3412
3748,5698
3749,225
3750,7634
3751,6123
3752,4163
3753,5612
3754,2925
3755,262
3756,443
3757,8519
3758,597
3759,7797
3760,1673
3761,2247
3762,3249
3763,8445
3764,593
3765,1691
3766,3608
3767,5097
3768,7779
3769,8906
3770,7783
3771,5924
3772,5729
3773,5862
3774,5420
3775,3316
3776,4786
3777,3857
3778,5624
3779,671
3780,9070
3781,8574
3782,9286
3783,8885
3784,2952
3785,2089
3786,3571
3787,4412
3788,4436
3789,6966
3790,6353
3791,6258
3792,3808
3793,9699
3794,4824
3795,5738
3796,4397
3797,5285
3798,9093
3799,9426
3800,8181
3801,8682
3802,2649
3803,4479
3804,4756
3805,1909
3806,5442
3807,738
3808,9402
3809,9648
3810,490
3811,2619
3812,8848
3813,2139
3814,3354
3815,6780
3816,3047
3817,8494
3818,4774
3819,7560
3820,5758
3821,9297
3822,1919
3823,3433
3824,7403
3825,7502
3826,8269
3827,6038
3828,9637
3829,3206
3830,9708
3831,8999
3832,6928
3833,7508
3834,1365
3835,6161
3836,8535
3837,1765
3838,5344
3839,6834
3840,913
3841,5381
3842,3830
3843,5594
3844,952
3845,2383
3846,3966
3847,8286
3848,1934
3849,6934
3850,2768
3851,1926
3852,4314
3853,2974
3854,5639
3855,7245
3856,6976
3857,1838
3858,1786
3859,6671
3860,8825
3861,2659
3862,3978
3863,9828
3864,6449
3865,6317
3866,4918
3867,6391
3868,7281
3869,932
3870,8229
3871,6160
3872,293
3873,7700
3874,6069
3875,3652
3876,1011
3877,3723
3878,6126
3879,6291
3880,6539
3881,6960
3882,5803
3883,5245
3884,8761
3885,9964
3886,1278
3887,5298
3888,2943
3889,7392
3890,5774
3891,4673
3892,6705
3893,1610
3894,2507
3895,8181
3896,6036
3897,5366
3898,6295
3899,5349
3900,7747
3901,8880
3902,4276
3903,5066
3904,1444
3905,525
3906,7178
3907,1044
3908,5264
3909,2847
3910,8095
3911,8778
3912,9255
3913,2162
3914,1645
3915,7073
3916,6306
3917,6372
3918,546
3919,8751
3920,6237
3921,3179
3922,2684
3923,7210
3924,245
3925,1028
3926,301
3927,6987
3928,6605
3929,4398
3930,5979
3931,4777
3932,8711
3933,5804
3934,5852
3935,573
3936,3360
3937,2144
3938,8607
3939,9034
3940,3223
3941,6664
3942,9190
3943,9156
3944,2752
3945,4179
3946,3625
3947,1325
3948,9002
3949,476
3950,5927
3951,6895
3952,5228
3953,4854
3954,9745
3955,4976
3956,3300
3957,414
3958,2787
3959,6663
3960,2635
3961,8957
3962,9398
3963,7967
3964,8733
3965,1005
3966,7605
3967,6076
3968,3680
3969,872
3970,1578
3971,3103
3972,4590
3973,6952
3974,2335
3975,842
3976,531
3977,207
3978,7140
3979,3006
3980,7364
3981,3524
3982,6013
3983,554
3984,7913
3985,6059
3986,780
3987,8622
3988,4565
3989,6015
3990,5556
3991,5159
3992,3262
3993,6051
3994,8527
3995,5178
3996,2629
3997,3715
3998,1040
3999,7988
4000,6179
4001,8692
4002,3469
4003,6229
4004,6821
4005,3870
4006,9729
4007,1289
4008,244
4009,1649
4010,6984
4011,5741
4012,1169
4013,3458
4014,7353
4015,6752
4016,7115
4017,7821
4018,9323
4019,5692
4020,4155
4021,4376
4022,1311
4023,7610
4024,6257
4025,6220
4026,4408
4027,4627
4028,1869
4029,3083
4030,472
4031,8510
4032,519
4033,7473
4034,6989
4035,2943
4036,4788
4037,751
4038,8142
4039,6432
4040,8640
4041,7481
4042,6647
4043,4586
4044,7967
4045,7863
4046,1188
4047,6667
4048,6659
4049,2126
4050,5129
4051,8765
4052,7122
4053,2241
4054,1779
4055,5481
4056,8736
4057,7935
4058,3269
4059,4591
4060,6093
4061,6472
4062,7955
4063,9595
4064,6440
4065,9881
4066,4285
4067,9204
4068,2805
4069,9635
4070,6833
4071,4951
4072,9356
4073,1421
4074,5903
4075,3826
4076,1014
4077,6525
4078,4044
4079,8004
4080,3104
4081,6714
4082,1549
4083,2873
4084,1465
4085,2187
4086,4790
4087,9905
4088,5227
4089,5173
4090,7218
4091,4456
4092,2024
4093,4498
4094,4685
4095,8981
4096,9417
4097,9715
4098,4597
4099,137
4100,5477
4101,5615
4102,9988
4103,7547
4104,2358
4105,1
4106,4418
4107,4399
4108,583
4109,8486
4110,4130
4111,2535
4112,5395
4113,6255
4114,354
4115,3838
4116,9760
4117,6877
4118,3015
4119,654
4120,1033
4121,3531
4122,661
4123,9065
4124,375
4125,6281
4126,6196
4127,3494
4128,6131
4129,483
4130,4226
4131,1726
4132,8777
4133,5516
4134,9495
4135,3551
4136,4237
4137,2629
4138,7078
4139,295
4140,8645
4141,7610
4142,2609
4143,4581
4144,7217
4145,236
4146,2924
4147,2547
4148,8715
4149,7330
4150,8412
4151,9727
4152,1684
4153,3914
4154,5815
4155,8655
4156,7675
4157,647
4158,5131
4159,4340
4160,135
4161,8434
4162,7429
4163,7153
4164,6781
4165,458
4166,4773
4167,4335
4168,1008
4169,8881
4170,5468
4171,2730
4172,4191
4173,565
4174,103
4175,7343
4176,4023
4177,4182
4178,1425
4179,8228
4180,4837
4181,4426
4182,7695
4183,6972
4184,7812
4185,7622
4186,8682
4187,6527
4188,9801
4189,3252
4190,8149
4191,8438
4192,3654
4193,2674
4194,9812
4195,1204
4196,5438
4197,3317
4198,1385
4199,8390
4200,1205
4201,996
4202,3891
4203,3685
4204,5443
4205,796
4206,6386
4207,7340
4208,4522
4209,3571
4210,8737
4211,349
4212,9935
4213,3166
4214,4335
4215,7729
4216,1430
4217,6135
4218,6917
4219,8766
4220,6785
4221,3874
4222,6289
4223,4967
4224,8772
4225,1027
4226,5678
4227,2430
4228,9336
4229,2592
4230,8663
4231,7256
4232,1482
4233,4614
4234,614
4235,6250
4236,595
4237,4011
4238,9285
4239,8941
4240,2309
4241,218
4242,556
4243,9602
4244,1899
4245,3958
4246,5094
4247,8434
4248,8611
4249,6638
4250,2814
4251,2111
4252,6288
4253,4039
4254,842
4255,319
4256,9361
4257,181
4258,8412
4259,4941
4260,742
4261,3607
4262,2644
4263,2749
4264,2871
4265,7247
4266,6413
4267,822
4268,2751
4269,1552
4270,5251
4271,2053
4272,4020
4273,6132
4274,9907
4275,6337
4276,8954
4277,50
4278,9945
4279,8782
4280,3773
4281,3584
4282,8976
4283,7579
4284,1208
4285,6547
4286,6332
4287,5941
4288,735
4289,845
4290,4964
4291,5061
4292,9490
4293,6408
4294,6875
4295,5186
4296,9584
4297,1133
4298,5803
4299,1159
4300,243
4301,9771
4302,5741
4303,4771
4304,6823
4305,5724
4306,8639
4307,4500
4308,3
4309,1074
4310,1365
4311,3513
4312,356
4313,9636
4314,8679
4315,5336
4316,4789
4317,8237
4318,432
4319,6645
4320,5196
4321,3551
4322,1280
4323,2642
4324,4868
4325,5986
4326,5604
4327,8885
4328,1125
4329,470
4330,6705
4331,4334
4332,5554
4333,3557
4334,3072
4335,9475
4336,9551
4337,4874
4338,9055
4339,7512
4340,9989
4341,5436
4342,8102
4343,5283
4344,7100
4345,9459
4346,4954
4347,280
4348,1642
4349,9749
4350,3406
4351,6878
4352,2591
4353,5188
4354,4944
4355,4558
4356,9920
4357,2388
4358,6053
4359,8895
4360,2819
4361,9767
4362,6288
4363,820
4364,6743
4365,602
4366,375
4367,3564
4368,2337
4369,6740
4370,8970
4371,3024
4372,5793
4373,1750
4374,8639
4375,807
4376,9387
4377,7375
4378,25
4379,2358
4380,9875
4381,6889
4382,2278
4383,2240
4384,2805
4385,3047
4386,6813
4387,5209
4388,9159
4389,6459
4390,4042
4391,1365
4392,2080
4393,8437
4394,4103
4395,7528
4396,3312
4397,9489
4398,8029
4399,3869
4400,2873
4401,129
4402,6792
4403,5366
4404,7483
4405,6402
4406,4549
4407,8733
4408,8950
4409,9271
4410,3901
4411,680
4412,8457
4413,8478
4414,7606
4415,2708
4416,2974
4417,9583
4418,52
4419,9453
4420,3780
4421,2744
4422,3969
4423,8157
4424,4055
4425,9457
4426,7807
4427,6227
4428,8835
4429,1328
4430,4194
4431,2982
4432,4217
4433,1078
4434,560
4435,5355
4436,4686
4437,4078
4438,99
4439,9733
4440,2874
4441,9815
4442,4460
4443,5285
4444,4379
4445,5827
4446,4869
4447,7318
4448,2230
4449,9271
4450,5813
4451,8306
4452,3610
4453,354
4454,2327
4455,9551
4456,6733
4457,7023
4458,5927
4459,7983
4460,533
4461,6590
4462,758
4463,7542
4464,3240
4465,8011
4466,2527
4467,4963
4468,7541
4469,5653
4470,1324
4471,8224
4472,4437
4473,352
4474,891
4475,5683
4476,1222
4477,3717
4478,3993
4479,7094
4480,1056
4481,9143
4482,7230
4483,8660
4484,4156
4485,7691
4486,3597
4487,3058
4488,7297
4489,6845
4490,7571
4491,9345
4492,7927
4493,3569
4494,9546
4495,7364
4496,961
4497,2234
4498,8158
4499,2660
4500,2022
4501,1303
4502,4348
4503,8975
4504,1590
4505,8816
4506,9290
4507,2621
4508,4414
4509,5455
4510,3889
4511,3399
4512,5691
4513,4413
4514,236
4515,3153
4516,6446
4517,2443
4518,3581
4519,1619
4520,308
4521,4462
4522,8746
4523,2833
4524,9548
4525,3470
4526,800
4527,6464
4528,6750
4529,66
4530,6484
4531,8924
4532,7118
4533,3179
4534,6465
4535,1823
4536,7921
4537,2752
4538,2642
4539,9123
4540,8542
4541,891
4542,2438
4543,8807
4544,8831
4545,5394
4546,6035
4547,6884
4548,1661
4549,3896
4550,2650
4551,796
4552,676
4553,298
4554,1599
4555,9681
4556,6307
4557,6372
4558,8086
4559,4153
4560,4329
4561,5705
4562,3158
4563,7335
4564,1392
4565,6560
4566,8204
4567,1814
4568,878
4569,2021
4570,6108
4571,2843
4572,8725
4573,6625
4574,78
4575,6406
4576,8940
4577,8725
4578,8797
4579,6083
4580,4052
4581,6954
4582,821
4583,2990
4584,5115
4585,9281
4586,8896
4587,37
4588,5074
4589,4431
4590,584
4591,2685
4592,8413
4593,1680
4594,5221
4595,9441
4596,1971
4597,9325
4598,7069
4599,5080
4600,5012
4601,3206
4602,1380
4603,3168
4604,3072
4605,6926
4606,3320
4607,6857
4608,7591
4609,333
4610,9887
4611,4729
4612,3270
4613,4869
4614,6408
4615,8488
4616,4973
4617,7059
4618,556
4619,8419
4620,7789
4621,3161
4622,9000
4623,9098
4624,7872
4625,8606
4626,3288
4627,6508
4628,1512
4629,6902
4630,2245
4631,769
4632,7500
4633,8506
4634,7345
4635,309
4636,4124
4637,4670
4638,9969
4639,3226
4640,5850
4641,7606
4642,8871
4643,389
4644,2383
4645,2761
4646,5118
4647,188
4648,8039
4649,8859
4650,7600
4651,423
4652,9020
4653,347
4654,1611
4655,5724
4656,898
4657,225
4658,9099
4659,4272
4660,7551
4661,7371
4662,5680
4663,4410
4664,7791
4665,5035
4666,8437
4667,5783
4668,540
4669,9639
4670,270
4671,5008
4672,7556
4673,6624
4674,7212
4675,9445
4676,7248
4677,9441
4678,9639
4679,4661
4680,6886
4681,4402
4682,1421
4683,589
4684,1249
4685,8241
4686,704
4687,437
4688,917
4689,334
4690,9069
4691,2803
4692,9809
4693,2179
4694,4637
4695,7620
4696,8124
4697,9639
4698,9433
4699,6195
4700,2555
4701,4774
4702,2755
4703,5119
4704,7116
4705,7167
4706,9007
4707,9014
4708,4995
4709,3089
4710,7487
4711,2405
4712,9570
4713,289
4714,9328
4715,8066
4716,2311
4717,3359
4718,9306
4719,1683
4720,5967
4721,8635
4722,3550
4723,3057
4724,4011
4725,4607
4726,6745
4727,1602
4728,7081
4729,4966
4730,1702
4731,3467
4732,1955
4733,9376
4734,7966
4735,5772
4736,207
4737,477
4738,2276
4739,8578
4740,2117
4741,9488
4742,8404
4743,5137
4744,5431
4745,5971
4746,7906
4747,1678
4748,2320
4749,8323
4750,6294
4751,6530
4752,1696
4753,4953
4754,3525
4755,5191
4756,1915
4757,199
4758,8437
4759,4532
4760,301
4761,9840
4762,6280
4763,1540
4764,3628
4765,6718
4766,4630
4767,437
4768,7710
4769,8541
4770,6850
4771,4879
4772,8518
4773,8010
4774,7340
4775,1719
4776,9806
4777,4651
4778,871
4779,9683
4780,9761
4781,7572
4782,3766
4783,7880
4784,8865
4785,3531
4786,9877
4787,5503
4788,6359
4789,5362
4790,4520
4791,313
4792,8032
4793,7224
4794,7607
4795,1591
4796,5200
4797,2974
4798,81
4799,363
4800,4350
4801,123
4802,5266
4803,3629
4804,7385
4805,6859
4806,865
4807,402
4808,2721
4809,9213
4810,4949
4811,2671
4812,3133
4813,7217
4814,5545
4815,4761
4816,7472
4817,7299
4818,3155
4819,9222
4820,3478
4821,1176
4822,7936
4823,1389
4824,7662
4825,9471
4826,6969
4827,2411
4828,5
4829,2326
4830,4745
4831,8151
4832,3809
4833,7386
4834,1882
4835,299
4836,1096
4837,9831
4838,5753
4839,1342
4840,9889
4841,7639
4842,5656
4843,7063
4844,9201
4845,1945
4846,1269
4847,6397
4848,4033
4849,6274
4850,146
4851,4048
4852,4753
4853,532
4854,1641
4855,4991
4856,6619
4857,6705
4858,9321
4859,7085
4860,2521
4861,7871
4862,582
4863,4770
4864,393
4865,7747
4866,613
4867,5715
4868,1404
4869,6629
4870,9284
4871,136
4872,7057
4873,8444
4874,5325
4875,3749
4876,4763
4877,1412
4878,6405
4879,4699
4880,4309
4881,7732
4882,8842
4883,6437
4884,4171
4885,9127
4886,4988
4887,6921
4888,5739
4889,2510
4890,8766
4891,556
4892,8204
4893,7993
4894,1668
4895,1077
4896,5676
4897,5633
4898,268
4899,78
4900,7261
4901,3145
4902,978
4903,7908
4904,4049
4905,5125
4906,6639
4907,4405
4908,5264
4909,3335
4910,6655
4911,9803
4912,3878
4913,4179
4914,5596
