item_nbr,family,class,perishable,f1
2342,12,2,0,348
2687,3,65,0,95
2177,12,28,0,280
2424,18,238,0,492
2012,10,166,1,763
429,29,206,1,662
745,7,223,0,871
2419,18,238,0,887
845,3,69,0,194
2392,5,186,1,464
283,12,61,0,990
1220,8,123,1,32
1975,8,142,1,52
406,12,26,0,560
1091,9,169,1,953
1455,3,69,0,575
2480,12,47,0,142
3277,3,76,0,679
691,12,19,0,66
2452,18,240,0,458
1002,12,38,0,935
2394,5,186,1,494
1467,3,70,0,814
3647,12,19,0,78
2021,7,233,0,414
2857,6,271,0,994
1434,5,183,1,22
2570,3,79,0,38
565,12,19,0,207
1925,8,141,1,567
3400,15,285,0,109
3112,25,244,0,854
3497,7,231,0,920
3870,12,9,0,813
2815,30,117,1,934
507,12,21,0,973
749,8,128,1,576
1237,11,150,0,937
1509,3,70,0,231
172,21,331,0,660
2863,31,308,0,928
2568,3,79,0,714
133,12,21,0,187
998,3,70,0,657
1035,3,70,0,847
1913,8,139,1,918
3404,12,14,0,133
2801,30,110,1,901
1512,3,74,0,82
2322,12,18,0,147
3190,12,21,0,557
1175,12,21,0,928
1252,25,246,0,579
826,9,167,1,784
3639,12,44,0,758
3762,8,139,1,322
475,12,56,0,304
584,7,210,0,300
3357,12,32,0,398
2862,30,118,1,454
3425,12,21,0,917
73,5,181,1,482
2543,3,85,0,185
2943,30,117,1,905
1886,12,23,0,899
769,12,14,0,32
1158,12,59,0,203
38,12,9,0,309
917,12,5,0,437
1494,12,23,0,81
2531,3,85,0,473
1553,12,47,0,376
495,12,19,0,771
644,10,164,1,796
1405,7,216,0,587
1725,12,11,0,944
289,7,210,0,558
3308,7,219,0,6
3563,3,70,0,238
2365,3,69,0,386
1899,8,143,1,127
2936,30,119,1,325
1000,3,70,0,816
2947,30,112,1,866
2659,3,85,0,552
2813,30,109,1,609
2069,12,14,0,758
1210,12,14,0,526
994,12,30,0,841
3715,11,145,0,536
7,12,30,0,244
3446,3,69,0,169
2366,3,69,0,203
3555,12,9,0,725
3052,30,110,1,727
906,12,46,0,509
1445,12,46,0,911
107,12,46,0,344
3731,3,71,0,153
3431,3,65,0,183
1916,8,141,1,279
3171,12,9,0,52
2573,3,79,0,28
3607,12,34,0,101
324,12,18,0,420
3216,3,65,0,494
192,12,22,0,991
1503,7,233,0,324
970,7,210,0,400
1478,3,72,0,707
3821,7,224,0,378
457,5,182,1,809
3780,3,70,0,734
3326,15,286,0,734
1277,12,28,0,397
1144,8,129,1,776
3806,9,172,1,346
2952,30,111,1,159
1752,3,73,0,777
3848,20,324,0,261
1034,3,70,0,744
3909,3,65,0,76
696,12,19,0,307
964,11,152,0,851
2249,15,286,0,154
3262,12,1,0,727
2859,30,112,1,214
2334,12,28,0,299
3015,30,116,1,142
3406,3,71,0,533
3269,3,76,0,41
3506,12,18,0,606
3952,12,44,0,659
1139,5,191,1,252
3843,20,326,0,972
3670,12,22,0,759
3005,30,111,1,493
3556,12,9,0,266
2193,12,8,0,126
3658,12,19,0,585
3697,3,69,0,131
3331,30,108,1,696
3808,9,169,1,937
1707,30,121,1,854
787,12,56,0,346
735,24,156,1,120
1036,24,157,1,161
2805,30,106,1,943
1027,24,157,1,97
1944,28,163,1,566
2806,30,109,1,295
3852,3,79,0,384
3441,3,72,0,350
3928,3,79,0,458
3961,29,204,1,473
3825,12,63,0,363
3919,31,313,0,434
2990,30,107,1,336
3503,28,162,1,90
1621,24,156,1,544
3485,30,117,1,693
3921,29,200,1,660
2304,5,191,1,58
3868,12,9,0,6
1367,12,49,0,460
1998,12,47,0,947
2950,29,202,1,534
2614,3,79,0,657
2007,25,243,0,262
3711,3,75,0,538
3007,30,112,1,746
4024,12,18,0,390
3675,12,40,0,294
2872,19,332,0,847
874,24,156,1,581
1597,25,243,0,221
3668,12,40,0,930
4032,3,76,0,678
1644,12,2,0,521
1614,12,47,0,569
2106,12,26,0,338
12,12,19,0,420
2550,3,65,0,66
338,7,220,0,307
1050,7,227,0,510
3891,25,248,0,929
1001,3,70,0,611
1319,7,233,0,553
1778,3,71,0,355
2641,3,79,0,985
2294,7,218,0,24
1333,3,70,0,544
1113,8,129,1,390
511,12,61,0,857
431,12,19,0,674
801,12,64,0,139
1047,7,233,0,422
3215,7,227,0,946
1292,12,30,0,222
2855,6,271,0,479
1131,11,152,0,581
3439,12,29,0,818
1581,12,9,0,521
3421,12,60,0,299
3894,15,278,0,665
860,12,39,0,979
1349,7,224,0,425
898,9,171,1,251
1323,12,41,0,473
1267,12,3,0,315
771,12,18,0,42
1051,12,47,0,865
1875,25,252,0,333
159,12,64,0,889
1873,25,247,0,477
2864,31,312,0,666
2206,16,304,0,420
2196,15,289,0,388
88,12,14,0,55
843,2,257,0,608
2373,12,4,0,685
540,12,26,0,62
1556,0,317,0,624
2503,7,228,0,364
3810,12,26,0,439
208,3,69,0,510
1472,3,71,0,247
2313,9,169,1,901
1313,7,233,0,315
1141,5,181,1,732
1076,3,71,0,691
1532,7,226,0,371
802,21,331,0,884
985,7,233,0,820
332,9,168,1,522
1368,9,169,1,180
1499,7,233,0,537
2107,12,26,0,765
3523,23,265,0,21
1428,12,11,0,211
1010,7,231,0,654
986,7,233,0,668
1643,3,73,0,649
147,7,223,0,227
389,12,9,0,185
1691,12,26,0,882
1607,7,232,0,291
2312,9,169,1,859
2409,18,240,0,509
2397,25,248,0,877
684,12,35,0,718
177,3,70,0,50
3288,3,76,0,133
142,12,5,0,91
2162,12,28,0,566
2199,16,300,0,471
1490,7,219,0,472
2371,12,39,0,202
1677,3,71,0,642
2148,7,213,0,350
761,2,258,0,524
3381,8,140,1,144
1808,5,184,1,792
516,10,164,1,740
224,7,227,0,792
814,12,2,0,595
1286,8,125,1,996
356,7,215,0,748
3771,8,139,1,122
2692,7,219,0,17
1021,25,246,0,767
2588,3,77,0,613
1092,12,9,0,737
2440,18,238,0,290
1207,9,173,1,387
2558,3,68,0,791
1082,12,8,0,894
3355,12,29,0,175
2377,12,4,0,191
3749,12,21,0,314
1401,12,6,0,278
1361,5,180,1,675
3591,12,44,0,480
1386,21,329,0,343
2275,7,213,0,207
2405,18,240,0,13
2484,18,240,0,193
1573,5,183,1,98
2542,3,67,0,873
10,12,29,0,994
3750,12,21,0,243
2215,15,295,0,361
2935,30,113,1,367
3076,30,112,1,839
89,7,230,0,971
1617,12,61,0,62
510,12,24,0,944
183,7,233,0,214
423,12,0,0,580
2895,30,104,1,775
1710,7,210,0,660
1924,8,143,1,572
1173,12,21,0,374
3887,12,9,0,672
550,7,223,0,381
28,12,2,0,900
3882,12,9,0,716
395,3,71,0,572
2847,6,271,0,704
23,7,222,0,719
949,7,220,0,959
3471,8,133,1,864
792,12,14,0,558
3719,3,69,0,828
220,12,32,0,344
1671,25,243,0,164
1449,3,69,0,129
578,11,148,0,31
450,10,164,1,185
1611,12,47,0,57
3142,12,9,0,684
131,8,127,1,729
150,12,46,0,748
3089,15,278,0,877
3712,7,231,0,615
3540,7,222,0,453
2776,30,112,1,581
505,12,29,0,928
3394,15,285,0,781
2762,30,111,1,747
235,12,9,0,96
2928,30,106,1,342
1599,3,73,0,921
1301,11,152,0,51
3547,3,71,0,852
2020,5,182,1,771
1766,3,73,0,617
3003,30,111,1,869
3105,30,112,1,476
40,12,9,0,303
257,8,131,1,705
3583,3,68,0,220
2250,12,18,0,617
2527,3,85,0,924
954,12,9,0,137
1601,3,70,0,557
434,12,51,0,793
3678,12,56,0,575
2046,7,220,0,629
3435,8,141,1,965
755,7,232,0,696
2786,30,117,1,892
3807,9,172,1,519
1684,12,26,0,693
3332,8,143,1,421
3534,12,23,0,352
3720,3,71,0,908
24,12,21,0,507
1433,5,182,1,60
983,11,149,0,356
467,7,228,0,322
1330,8,129,1,474
3144,12,9,0,660
2499,7,233,0,406
3687,12,28,0,284
2528,3,85,0,708
1140,5,191,1,310
3161,9,167,1,342
2931,30,113,1,367
2777,30,112,1,622
613,12,47,0,690
3902,25,248,0,96
2402,25,248,0,459
3526,22,93,0,828
3944,3,68,0,829
3842,20,326,0,111
3223,30,105,1,864
3955,29,209,1,419
3706,12,50,0,56
3820,3,70,0,280
2680,3,79,0,953
4033,3,81,0,779
713,24,156,1,49
744,24,156,1,831
1037,24,157,1,234
2763,30,107,1,745
777,24,158,1,116
2791,30,109,1,229
721,24,156,1,651
971,11,153,0,589
1511,24,157,1,804
3048,30,106,1,930
3029,30,119,1,353
781,24,158,1,413
1586,24,158,1,256
942,28,162,1,430
1954,28,163,1,865
2741,30,105,1,701
2995,30,109,1,678
2934,30,113,1,327
2948,30,112,1,681
2987,30,107,1,361
813,5,191,1,35
2939,30,107,1,219
3067,24,156,1,825
1689,12,26,0,53
1054,12,3,0,852
3817,3,69,0,676
3352,12,9,0,504
3538,7,220,0,558
2118,11,148,0,864
3080,18,238,0,423
2149,7,231,0,259
2226,25,246,0,486
3274,3,76,0,274
3938,3,72,0,390
881,11,149,0,59
3700,3,69,0,985
4018,12,49,0,962
1800,12,14,0,686
119,12,2,0,733
3452,25,248,0,656
271,12,56,0,678
559,7,210,0,508
597,12,29,0,307
2212,15,289,0,605
1905,8,137,1,75
2241,16,300,0,993
2047,7,220,0,728
2870,19,332,0,175
2032,12,0,0,707
1696,7,231,0,935
66,12,19,0,408
1189,12,26,0,203
1695,12,26,0,406
846,5,183,1,111
1656,7,220,0,105
657,12,57,0,930
2093,7,220,0,199
571,12,39,0,321
1348,7,224,0,983
2126,12,6,0,862
1862,25,248,0,969
1825,3,69,0,882
2414,18,240,0,811
2339,12,2,0,866
856,12,39,0,561
3477,12,18,0,536
2496,22,98,0,538
836,9,172,1,23
2013,12,18,0,942
1918,8,141,1,425
3567,8,142,1,435
1418,22,93,0,366
3521,7,231,0,985
211,12,0,0,658
3953,12,44,0,385
2526,3,85,0,360
1819,7,227,0,470
3829,25,248,0,615
2036,8,143,1,342
2403,23,266,0,557
125,21,331,0,613
1811,3,69,0,64
404,12,26,0,269
1408,12,18,0,772
360,12,18,0,972
2155,12,53,0,932
1326,12,59,0,222
1856,25,244,0,292
525,12,21,0,299
1596,12,28,0,517
1712,3,71,0,861
3492,12,36,0,856
1832,12,16,0,955
753,12,19,0,599
2896,30,117,1,197
1794,12,14,0,224
236,12,9,0,865
2437,18,238,0,938
2871,19,332,0,363
1797,12,14,0,474
250,12,36,0,592
3413,12,21,0,896
451,9,168,1,296
1419,5,180,1,243
652,8,127,1,32
2557,3,67,0,320
2269,16,303,0,224
3356,12,29,0,821
189,12,14,0,756
367,9,168,1,466
3088,16,306,0,687
2300,25,248,0,922
1505,3,75,0,893
3370,0,321,0,824
1215,12,38,0,317
1747,12,49,0,848
590,21,331,0,259
1382,12,16,0,223
2848,6,271,0,803
547,12,6,0,610
3766,8,139,1,137
163,7,228,0,71
1060,8,131,1,604
2541,3,85,0,354
2460,18,240,0,210
901,7,223,0,442
556,7,233,0,269
1820,12,5,0,714
2395,5,186,1,459
1447,7,233,0,147
3138,12,9,0,856
3212,5,183,1,157
1670,12,47,0,450
1065,8,131,1,521
2422,18,238,0,303
897,3,70,0,247
803,12,2,0,580
188,12,19,0,238
357,12,21,0,424
2297,16,304,0,894
437,12,64,0,86
646,9,168,1,311
1604,3,70,0,816
57,7,220,0,817
3714,11,145,0,112
2727,30,106,1,85
230,7,228,0,452
3622,12,19,0,2
849,10,164,1,68
2925,30,112,1,10
3040,31,310,0,664
816,22,96,0,219
1460,3,70,0,83
3761,3,76,0,297
1426,11,146,0,875
3424,12,9,0,246
3232,22,94,0,76
2041,12,14,0,317
1246,7,233,0,626
2587,3,77,0,522
176,7,232,0,149
2321,16,305,0,187
1537,12,11,0,667
14,12,48,0,815
3240,30,111,1,859
3070,12,16,0,602
1544,8,129,1,82
441,12,29,0,811
1130,11,152,0,719
2954,30,104,1,332
141,7,232,0,682
3652,12,19,0,406
274,12,29,0,372
2270,16,303,0,981
1502,7,233,0,467
2918,30,112,1,613
409,12,49,0,176
2473,18,238,0,312
654,5,180,1,440
76,12,8,0,554
2486,12,39,0,666
3661,12,33,0,746
3350,30,110,1,901
1760,12,21,0,174
3586,12,46,0,654
2826,27,273,0,819
3234,3,71,0,811
2050,5,194,1,242
2881,19,332,0,940
3772,3,68,0,811
1662,8,129,1,522
3699,3,67,0,117
407,8,131,1,836
1062,8,131,1,398
2930,30,113,1,166
827,9,168,1,262
3465,12,26,0,662
3696,12,5,0,324
3141,12,9,0,205
2407,18,239,0,723
2451,18,240,0,443
222,12,21,0,638
3814,30,106,1,357
1451,3,69,0,776
335,12,53,0,454
3469,12,9,0,306
3140,12,9,0,50
1347,7,228,0,564
1469,3,71,0,474
97,7,227,0,569
589,12,57,0,176
2180,12,9,0,616
1059,8,131,1,877
1278,12,28,0,379
2688,3,68,0,353
3713,7,233,0,658
2285,12,9,0,639
2355,8,129,1,232
1888,8,143,1,164
3854,22,93,0,136
3669,12,34,0,931
3500,22,96,0,222
543,12,26,0,306
139,10,164,1,462
2481,12,47,0,798
1497,12,26,0,107
2359,12,46,0,756
3438,5,182,1,462
3721,3,75,0,427
631,7,211,0,845
3788,30,116,1,178
3856,3,74,0,737
3841,12,14,0,607
2467,18,238,0,665
3209,3,77,0,481
2197,15,289,0,106
1648,12,21,0,902
2356,8,129,1,678
3989,3,79,0,882
2681,3,79,0,167
1730,12,26,0,929
6,12,30,0,398
485,7,223,0,613
206,12,30,0,204
3827,3,72,0,913
728,24,156,1,667
722,24,156,1,767
1943,28,163,1,738
1622,11,154,0,877
1375,24,160,1,569
2966,30,106,1,884
1938,28,163,1,980
279,12,8,0,575
2959,30,105,1,898
1030,24,157,1,347
2611,3,79,0,304
3085,12,59,0,145
3948,12,23,0,850
2991,30,108,1,339
3676,12,15,0,548
2960,30,105,1,305
3027,30,118,1,359
2264,12,31,0,147
4008,12,23,0,624
4000,12,21,0,475
588,8,127,1,83
315,12,26,0,418
2942,30,117,1,41
1086,8,132,1,892
446,12,21,0,707
331,9,167,1,216
239,21,331,0,711
3122,3,69,0,421
178,3,70,0,332
3208,3,77,0,91
3457,30,106,1,351
198,32,196,1,503
767,24,156,1,522
669,12,6,0,894
4002,22,89,0,476
4014,22,100,0,478
524,5,182,1,887
1487,3,75,0,88
1452,3,69,0,35
432,12,19,0,968
2412,18,240,0,907
68,12,19,0,860
136,12,39,0,238
2251,16,300,0,896
1642,7,230,0,200
2438,18,238,0,441
466,7,227,0,169
699,12,39,0,986
2894,30,104,1,619
791,22,97,0,141
61,12,14,0,85
1631,7,230,0,887
426,12,9,0,460
1744,12,51,0,815
2530,3,85,0,80
921,12,39,0,606
598,25,246,0,991
1257,3,70,0,595
418,12,37,0,263
3339,12,19,0,405
1353,11,152,0,763
1683,12,26,0,261
1183,12,5,0,834
1793,12,20,0,224
1269,12,26,0,908
3527,12,8,0,759
2512,3,73,0,267
1539,12,59,0,258
1042,12,64,0,650
380,5,180,1,11
2885,19,332,0,5
157,12,32,0,54
1837,12,59,0,466
1708,7,231,0,147
1993,12,9,0,289
1334,22,93,0,304
1162,25,246,0,312
1680,8,129,1,577
3130,5,183,1,859
1655,7,220,0,638
1501,7,233,0,761
2332,12,49,0,431
310,3,71,0,686
78,12,21,0,824
2651,3,85,0,571
2209,16,300,0,622
3156,12,9,0,525
685,7,220,0,191
2420,18,238,0,347
2519,3,65,0,669
3564,3,70,0,354
2379,7,223,0,898
295,7,212,0,232
2913,30,106,1,320
123,3,74,0,977
3127,12,14,0,443
2880,19,332,0,696
1897,8,138,1,291
3463,12,26,0,629
70,7,213,0,374
686,7,221,0,793
65,12,19,0,976
1514,12,14,0,961
3917,12,2,0,152
1985,3,69,0,67
229,7,227,0,533
1699,22,93,0,532
1371,3,71,0,56
1328,8,133,1,231
1790,3,72,0,13
140,9,168,1,871
1111,8,129,1,421
513,12,5,0,43
3239,12,14,0,142
2174,12,28,0,511
1877,25,248,0,399
2633,3,85,0,188
2653,3,85,0,897
15,9,169,1,92
1592,12,2,0,774
2929,30,113,1,597
2425,18,238,0,95
1117,8,133,1,196
2039,5,184,1,862
1763,3,73,0,14
2380,12,4,0,838
1201,12,28,0,38
950,7,220,0,935
27,12,9,0,522
3367,0,321,0,19
1529,7,221,0,889
1233,22,93,0,706
3653,12,33,0,902
493,8,129,1,66
2105,9,169,1,312
1247,5,188,1,270
328,7,223,0,180
1815,12,28,0,825
989,7,221,0,689
3673,12,34,0,26
2474,18,238,0,630
3285,3,76,0,157
2195,16,301,0,986
638,12,21,0,300
1066,8,132,1,892
3204,3,71,0,705
3231,12,47,0,585
1444,5,182,1,78
1956,28,163,1,868
340,12,37,0,426
1374,12,28,0,813
1265,12,30,0,814
3243,23,265,0,414
134,12,21,0,910
3874,12,9,0,671
11,12,61,0,737
452,9,172,1,888
1482,3,72,0,273
930,25,246,0,196
3734,3,65,0,885
453,9,175,1,734
1067,8,132,1,620
187,12,46,0,24
2360,8,129,1,364
1995,12,47,0,657
2490,8,139,1,3
3301,30,117,1,781
789,12,30,0,898
1554,12,26,0,164
234,12,9,0,37
506,12,21,0,99
411,12,51,0,82
1077,8,134,1,734
259,25,243,0,816
2384,11,155,0,785
9,12,21,0,269
1415,3,72,0,129
2141,7,213,0,529
1536,22,101,0,837
1160,25,246,0,530
1929,8,141,1,406
3458,30,106,1,449
3337,3,69,0,762
1500,7,233,0,42
2454,18,240,0,68
1242,7,230,0,665
2222,15,295,0,892
2771,30,106,1,427
2593,3,77,0,472
3767,8,137,1,713
3158,25,243,0,713
2642,3,79,0,526
3189,12,21,0,892
413,3,70,0,975
3198,3,69,0,142
1360,12,39,0,987
1636,3,71,0,900
2137,12,64,0,972
1694,12,26,0,525
581,8,131,1,762
1869,25,248,0,677
1372,12,59,0,782
3247,12,49,0,110
3409,12,61,0,742
2008,20,323,0,427
3106,30,119,1,656
3407,10,165,1,368
1884,12,61,0,835
3889,12,9,0,9
3395,15,285,0,594
3166,7,219,0,413
3679,18,236,0,942
3958,29,209,1,31
127,12,19,0,147
2533,3,85,0,595
3373,12,47,0,969
254,7,216,0,715
1513,3,74,0,821
2772,30,112,1,662
2671,3,79,0,67
2083,12,5,0,739
81,12,39,0,436
3329,12,26,0,518
3813,18,238,0,90
199,7,213,0,893
3230,16,303,0,842
1960,28,163,1,603
1406,24,156,1,957
1031,24,157,1,440
717,24,156,1,377
1227,28,162,1,461
709,24,156,1,505
1217,28,162,1,162
658,12,46,0,307
2989,30,107,1,440
775,24,158,1,115
1032,24,157,1,485
2963,30,106,1,882
2748,30,111,1,565
2992,30,108,1,699
1945,28,163,1,451
2664,3,67,0,400
2559,3,68,0,183
809,5,191,1,634
3565,3,69,0,616
2746,30,117,1,220
3935,3,72,0,214
3925,12,34,0,895
2051,5,194,1,824
4028,22,93,0,732
2922,30,119,1,223
1950,28,163,1,26
3013,30,114,1,366
1980,28,163,1,869
1603,3,70,0,139
2053,3,70,0,563
1397,12,23,0,718
537,12,8,0,935
1970,8,142,1,131
643,10,164,1,507
1018,12,46,0,400
2120,12,8,0,436
3857,3,70,0,581
3594,12,44,0,561
2268,16,303,0,882
2787,30,119,1,608
1084,7,230,0,249
2507,7,228,0,887
1177,25,246,0,69
3026,30,118,1,17
828,9,169,1,90
576,12,18,0,147
3241,3,73,0,404
2448,18,239,0,806
1458,3,70,0,598
1791,12,26,0,38
3752,12,21,0,3
2684,21,330,0,920
2002,12,59,0,823
2877,19,332,0,939
3508,7,214,0,643
2125,8,129,1,361
1559,0,319,0,181
1211,12,0,0,137
1357,7,219,0,166
2417,18,238,0,899
175,7,232,0,110
3385,8,140,1,272
1172,12,21,0,405
2054,3,71,0,569
459,21,330,0,775
796,12,23,0,794
645,9,167,1,630
2142,7,213,0,16
3183,2,263,0,112
2832,27,273,0,193
1864,25,248,0,19
2479,12,4,0,944
2130,12,18,0,541
3613,12,33,0,816
548,12,36,0,870
2282,7,227,0,635
3632,12,54,0,424
255,7,216,0,512
1847,25,242,0,1
3599,12,44,0,193
2716,26,315,0,8
348,12,19,0,697
3307,12,9,0,762
2838,6,271,0,455
2023,12,36,0,677
3655,22,98,0,37
1863,25,248,0,210
2341,12,2,0,447
306,7,228,0,459
1143,7,221,0,875
3815,12,27,0,614
1342,8,132,1,193
1845,25,253,0,545
1568,7,220,0,253
3174,12,2,0,795
2876,19,332,0,975
1097,12,28,0,937
3483,3,71,0,891
3640,12,19,0,979
1593,12,16,0,386
3341,3,73,0,194
1466,3,70,0,442
3420,12,21,0,973
2676,3,66,0,695
2233,16,300,0,742
3110,25,244,0,676
3149,12,9,0,726
2672,3,65,0,548
3108,25,244,0,528
3152,12,9,0,988
1398,12,23,0,576
3793,3,73,0,286
532,7,222,0,292
2644,3,79,0,906
563,12,14,0,681
1289,8,133,1,733
463,12,29,0,84
2858,30,107,1,739
1724,12,16,0,494
549,7,235,0,119
1009,22,93,0,549
223,12,47,0,350
1281,12,28,0,18
3783,12,3,0,623
1588,8,134,1,617
2458,18,240,0,689
2307,7,218,0,455
690,12,9,0,282
1229,3,70,0,356
1095,12,28,0,38
3335,3,72,0,860
1346,22,102,0,13
1561,12,17,0,866
1866,25,253,0,611
1526,12,2,0,661
3988,2,262,0,527
1290,12,30,0,916
298,0,319,0,320
1582,12,9,0,868
1441,12,21,0,956
2080,7,213,0,301
1826,12,9,0,800
1056,25,246,0,392
840,9,169,1,471
2298,25,246,0,101
1438,5,186,1,62
3180,3,70,0,860
2351,24,159,1,754
1727,3,74,0,277
372,7,230,0,812
940,12,46,0,657
3624,12,46,0,272
3191,11,148,0,345
2117,11,148,0,479
2834,27,273,0,373
882,11,149,0,907
3333,3,72,0,981
993,12,30,0,317
1649,0,317,0,416
2276,7,213,0,395
3732,3,71,0,788
3069,3,75,0,416
1187,7,220,0,740
1917,8,141,1,130
227,7,222,0,358
3382,8,140,1,880
806,5,190,1,339
2536,3,65,0,762
1364,7,227,0,797
487,9,167,1,979
2648,3,78,0,947
1734,12,26,0,711
251,3,70,0,759
2649,3,85,0,656
1489,3,71,0,339
3733,3,71,0,731
1762,12,21,0,644
3754,12,21,0,841
3121,8,123,1,48
2820,6,270,0,40
2134,12,46,0,389
391,7,220,0,5
2234,16,297,0,101
1613,12,47,0,657
1805,12,26,0,569
1652,7,233,0,130
3907,3,71,0,798
2102,25,243,0,7
129,12,19,0,474
3597,12,46,0,707
1410,8,133,1,802
2166,9,174,1,805
1098,9,168,1,249
92,12,46,0,401
314,12,26,0,826
842,9,168,1,785
508,12,21,0,582
3081,18,238,0,306
1741,12,49,0,714
83,12,18,0,687
3530,12,8,0,194
484,7,223,0,630
1817,22,93,0,108
1216,12,5,0,491
1749,12,21,0,822
1926,8,141,1,774
1894,8,138,1,725
387,12,28,0,419
374,8,127,1,591
759,10,164,1,94
93,12,32,0,139
2220,15,295,0,369
2317,16,302,0,470
3709,3,73,0,394
3878,12,9,0,680
167,12,26,0,481
4010,12,56,0,354
1931,8,141,1,404
1735,12,26,0,139
3903,8,142,1,657
2262,12,26,0,729
3844,20,324,0,157
2163,7,210,0,507
3611,12,46,0,942
3880,12,9,0,310
2263,12,23,0,858
3211,9,168,1,850
3167,3,79,0,265
2429,18,239,0,159
3764,8,139,1,220
3849,20,323,0,131
2790,30,120,1,674
1720,3,70,0,870
2370,15,290,0,512
1167,5,190,1,181
1308,7,220,0,963
888,8,129,1,989
2114,3,71,0,282
2390,12,47,0,839
2679,3,77,0,459
115,7,232,0,385
2909,30,110,1,250
3495,7,231,0,361
3943,12,47,0,349
3071,12,16,0,786
1957,8,135,1,382
1251,12,23,0,60
3826,12,51,0,283
747,7,223,0,671
3996,8,126,1,669
1128,7,230,0,540
3906,13,86,0,193
3137,12,9,0,345
3980,12,3,0,93
648,9,175,1,263
3136,12,9,0,684
1043,12,38,0,448
3954,29,209,1,628
2678,12,14,0,916
3368,12,18,0,545
3939,3,72,0,987
667,5,186,1,377
2585,3,77,0,793
3837,20,326,0,355
974,8,123,1,935
3776,12,5,0,893
1785,7,219,0,891
3778,3,69,0,984
3257,7,221,0,290
3792,30,111,1,713
3998,7,231,0,888
3885,12,9,0,104
336,12,53,0,312
2946,30,112,1,952
3018,30,116,1,476
3300,30,116,1,666
3426,3,71,0,793
682,12,21,0,198
3963,3,68,0,666
3791,30,116,1,470
720,24,156,1,908
875,24,156,1,989
2978,30,107,1,682
1963,28,163,1,458
1558,24,156,1,678
708,24,156,1,580
707,24,156,1,982
733,24,156,1,623
577,9,179,1,921
868,32,195,1,131
2462,18,238,0,585
2038,7,234,0,720
2812,30,105,1,400
3698,3,69,0,48
2892,30,111,1,104
1579,24,158,1,153
2977,30,107,1,830
3803,22,93,0,659
3973,3,65,0,7
2906,30,117,1,235
3033,30,106,1,516
2744,30,109,1,418
2980,30,107,1,6
1952,28,163,1,414
3674,12,40,0,524
3590,11,151,0,661
4004,22,89,0,816
1476,3,72,0,232
2489,8,139,1,585
1637,3,71,0,262
489,9,172,1,932
1789,7,231,0,261
805,7,210,0,361
647,9,168,1,440
784,7,220,0,902
3517,3,71,0,852
574,5,180,1,631
2945,30,118,1,502
3913,22,92,0,114
3361,8,144,1,980
1726,12,26,0,661
616,9,169,1,57
3701,3,69,0,611
309,3,71,0,325
3177,26,314,0,770
1792,12,47,0,731
377,7,210,0,404
1871,25,247,0,769
853,12,39,0,902
285,7,217,0,727
2718,26,315,0,156
2228,15,277,0,958
2168,7,220,0,360
77,12,21,0,392
1990,3,70,0,576
53,0,319,0,630
1318,12,39,0,466
3075,12,57,0,520
2599,3,67,0,988
1830,20,327,0,957
1298,7,231,0,88
920,12,39,0,316
1354,22,96,0,645
1781,7,226,0,91
3629,12,19,0,5
2081,12,1,0,997
3176,26,314,0,612
3759,12,21,0,451
2554,3,67,0,374
114,7,232,0,599
1702,12,19,0,415
1240,7,220,0,530
3419,12,21,0,462
672,12,16,0,219
2221,15,295,0,179
596,0,319,0,983
1633,9,176,1,885
207,3,69,0,538
847,5,183,1,363
3654,12,19,0,895
3705,3,74,0,715
1703,12,18,0,193
3179,3,70,0,462
3730,3,71,0,286
1849,25,252,0,572
3109,25,244,0,556
2428,18,238,0,512
2010,8,129,1,22
2477,18,240,0,447
832,9,172,1,940
190,7,221,0,98
1876,25,248,0,531
1456,3,69,0,798
3726,12,14,0,805
1535,22,91,0,833
852,7,210,0,963
2816,27,273,0,20
3227,12,14,0,310
3969,3,73,0,865
1359,12,49,0,404
1396,7,222,0,847
2822,6,270,0,66
1992,12,9,0,961
3416,12,21,0,63
1530,7,220,0,944
692,10,164,1,280
2654,3,85,0,691
2561,3,68,0,655
116,12,53,0,437
1243,3,71,0,836
2190,16,299,0,979
1283,3,74,0,495
2372,25,253,0,335
329,9,172,1,588
2035,7,219,0,180
854,12,39,0,125
84,10,164,1,58
887,2,262,0,441
1155,12,37,0,931
2181,12,9,0,664
3233,3,71,0,916
630,12,19,0,910
3444,3,70,0,902
1973,8,142,1,130
1273,7,210,0,35
247,12,16,0,395
2456,18,240,0,522
401,12,46,0,621
1921,8,141,1,473
1295,7,218,0,298
2157,12,18,0,715
1154,25,243,0,773
2411,18,240,0,303
2011,10,166,1,82
2694,12,32,0,307
593,12,46,0,996
1179,12,18,0,32
3083,16,306,0,150
316,12,42,0,445
168,12,26,0,406
916,12,5,0,702
2426,18,238,0,943
1524,12,5,0,686
212,12,5,0,467
3981,12,3,0,733
1407,7,228,0,893
2510,8,133,1,821
2138,7,213,0,412
396,12,26,0,730
1717,11,146,0,59
3392,15,285,0,973
2951,30,111,1,657
3006,30,111,1,437
245,7,223,0,795
1676,12,14,0,695
1585,12,9,0,307
3120,18,236,0,99
2953,30,111,1,121
1698,0,317,0,902
1912,8,137,1,363
2695,18,238,0,213
3194,3,71,0,740
1907,8,137,1,755
3266,3,76,0,362
3151,12,9,0,567
2090,7,220,0,167
