DATEKEY,DATE,DAYOFWEEK,MONTH,YEAR,YEARMONTHNUM,YEARMONTH,DAYNUMINWEEK,DAYNUMINMONTH,DAYNUMINYEAR,MONTHNUMINYEAR,WEEKNUMINYEAR,SELLINGSEASON,LASTDAYINMONTHFL,HOLIDAYFL,WEEKDAYFL
19930202,330,877,638,945,686,274,972,995,637,709,66,514,627,81,331
19930203,165,26,260,753,46,284,1,766,953,294,677,521,870,225,327
19930204,55,987,661,764,554,707,547,160,707,1017,370,852,151,501,264
19930205,177,581,882,927,673,666,172,30,196,452,1002,738,259,410,177
19930206,704,564,1006,947,619,426,98,319,211,363,96,959,407,890,662
19930207,542,846,722,1014,174,633,839,902,183,114,39,551,575,491,54
19930208,302,157,433,910,979,277,348,318,135,287,452,105,909,35,490
19930209,236,861,166,599,97,427,990,419,116,939,669,478,663,53,87
19930210,631,794,362,616,246,162,417,72,976,309,793,675,737,752,13
19930211,910,917,727,805,985,550,480,714,941,224,776,230,419,558,153
19930212,816,867,207,621,907,366,319,838,249,694,799,476,520,237,241
19930213,202,389,898,310,1011,290,706,22,592,77,528,281,75,800,94
19930214,196,667,855,311,932,476,615,38,1014,512,914,244,880,473,458
19930215,625,701,788,911,345,223,956,545,655,657,864,499,43,381,322
19930216,661,251,741,245,954,118,240,920,570,315,857,310,202,227,419
19930217,749,27,987,45,385,511,581,569,61,767,203,726,974,723,564
19930218,162,394,234,404,314,764,483,876,173,550,354,382,360,288,266
19930219,704,812,1018,296,243,411,875,217,330,516,283,169,749,631,640
19930220,1023,630,531,441,149,761,515,349,485,521,665,691,93,70,748
19930221,90,948,100,447,17,647,178,182,956,375,621,973,15,27,846
19930222,371,255,22,137,968,1004,637,482,428,126,751,577,149,33,215
19930223,120,929,455,727,796,900,577,685,891,680,836,802,759,821,623
19930224,280,524,836,526,751,218,845,676,881,463,660,50,633,766,259
19930225,767,545,146,517,744,275,538,557,189,21,1001,645,341,889,34
19930226,58,470,473,427,648,247,881,427,480,789,844,857,776,599,23
19930227,23,307,35,26,733,210,15,555,529,336,1008,132,434,518,202
19930228,348,818,898,529,330,447,522,464,335,834,645,226,890,676,173
19930301,390,553,303,879,692,533,180,302,692,604,701,326,312,852,673
19930302,803,404,956,342,654,131,913,951,583,109,935,671,853,863,948
19930303,835,521,983,851,46,454,936,50,475,869,372,730,241,382,165
19930304,139,170,19,859,396,509,702,303,372,548,418,427,341,204,189
19930305,828,429,662,582,284,41,937,1019,682,1011,117,970,122,444,772
19930306,508,687,10,769,542,589,977,973,396,933,143,239,424,245,491
19930307,311,967,754,865,750,87,435,717,934,236,530,664,586,19,150
19930308,275,441,325,603,254,80,448,655,918,376,646,399,645,739,735
19930309,225,772,544,1,571,991,699,303,187,743,340,131,597,523,556
19930310,878,383,575,784,351,640,985,1,252,413,63,385,39,758,722
19930311,788,992,860,231,47,447,681,168,895,859,616,894,971,268,76
19930312,418,346,194,910,167,842,863,491,654,357,201,114,997,628,122
19930313,346,517,219,680,253,273,493,327,755,704,762,153,874,950,773
19930314,203,27,944,504,756,228,265,18,861,816,141,864,969,302,339
19930315,390,417,389,105,652,283,940,900,871,380,162,825,85,517,173
19930316,717,80,597,432,290,649,508,506,872,690,765,679,747,960,506
19930317,168,704,253,842,691,183,49,61,210,359,412,167,744,502,87
19930318,867,1007,248,782,696,133,335,703,266,665,139,686,409,107,235
19930319,192,749,379,557,46,841,558,627,898,967,304,705,170,139,484
19930320,363,530,335,789,909,150,616,315,464,66,409,795,462,142,867
19930321,365,433,563,256,772,472,393,694,368,857,991,710,1000,837,300
19930322,180,94,995,512,558,991,267,158,126,362,550,30,334,291,256
19930323,195,859,272,859,805,449,553,722,479,848,975,75,600,520,877
19930324,690,976,608,544,272,900,244,410,256,863,902,98,445,294,721
19930325,448,700,701,370,848,789,740,365,909,721,17,537,575,165,953
19930326,563,705,97,801,307,804,187,621,772,562,911,729,216,626,403
19930327,350,676,575,271,1009,829,922,871,655,844,831,479,450,431,205
19930328,528,865,180,809,1021,290,103,471,897,507,314,833,738,521,378
19930329,870,706,978,522,416,523,446,903,466,356,936,850,434,195,258
19930330,1015,657,232,341,986,655,962,718,433,152,338,369,574,272,783
19930331,294,720,196,358,483,874,960,546,960,224,281,371,38,630,829
19930401,374,936,110,767,977,95,493,713,834,258,71,458,765,921,795
19930402,819,487,491,723,509,40,647,1022,926,169,650,685,286,14,952
19930403,554,854,407,593,491,516,119,894,533,793,703,312,851,976,192
19930404,1015,441,299,962,449,194,232,73,737,733,860,70,238,699,4
19930405,177,318,190,270,299,334,5,606,256,189,194,78,713,983,473
19930406,169,558,709,110,785,456,551,964,81,851,217,717,675,810,164
19930407,40,56,332,181,149,245,15,127,203,256,1002,408,63,48,783
19930408,497,912,925,792,661,403,135,12,442,783,87,835,338,591,850
19930409,580,854,470,550,665,121,427,189,236,236,957,315,564,485,970
19930410,882,499,597,73,695,318,596,795,710,723,25,218,664,411,719
19930411,852,633,848,354,166,658,446,280,302,15,687,892,496,46,685
19930412,973,730,762,331,9,354,878,680,22,259,205,167,874,542,825
19930413,664,616,941,1023,719,571,360,1018,391,754,439,78,516,570,63
19930414,788,165,210,176,188,931,774,615,765,124,463,1002,19,299,46
19930415,167,887,281,894,747,955,214,265,74,149,321,375,384,515,318
19930416,183,523,487,494,842,980,738,798,309,727,141,970,605,548,926
19930417,335,672,918,669,412,520,74,538,669,1000,287,1006,1009,20,900
19930418,425,754,425,1023,295,920,930,1021,698,407,426,221,432,90,240
19930419,940,840,89,382,524,793,545,128,741,424,375,891,806,307,270
19930420,751,681,521,489,313,16,600,310,911,626,128,493,982,482,960
19930421,480,976,15,629,211,296,52,711,862,90,685,767,849,423,578
19930422,33,552,241,800,433,473,873,580,1012,410,71,987,789,666,860
19930423,956,585,166,87,966,437,636,924,623,685,552,575,534,673,28
19930424,847,823,830,311,606,81,92,528,396,511,980,25,543,762,825
19930425,54,240,319,108,765,986,1009,121,553,684,327,897,858,715,175
19930426,212,590,181,783,55,615,593,567,268,948,940,229,16,935,52
19930427,705,502,235,16,909,949,64,758,253,977,772,639,17,857,824
19930428,508,366,204,662,255,939,394,147,982,613,907,178,822,304,793
19930429,647,699,945,52,897,625,876,1002,625,965,432,970,73,273,557
19930430,998,637,1005,499,629,863,252,713,596,223,422,833,386,998,341
19930501,745,802,454,530,560,106,368,314,362,396,919,114,785,105,1004
19930502,871,782,595,456,372,328,816,899,977,136,467,712,1022,472,105
19930503,869,465,330,900,225,213,838,799,370,435,390,462,90,461,198
19930504,886,41,17,744,767,784,543,110,269,850,577,712,399,337,110
19930505,1,584,10,174,271,397,129,866,15,468,264,591,887,303,284
19930506,935,342,170,180,639,3,359,371,524,736,344,368,282,51,967
19930507,688,139,15,135,566,182,765,660,466,62,638,848,254,89,335
19930508,221,106,52,877,65,376,437,351,411,1004,23,739,820,871,300
19930509,594,309,764,476,65,62,585,190,884,26,839,182,623,986,620
19930510,665,927,543,268,265,350,406,952,347,669,545,960,422,37,919
19930511,194,609,142,10,473,245,138,200,927,412,123,334,775,549,550
19930512,751,380,615,800,133,818,588,588,21,84,673,391,620,714,713
19930513,523,811,173,839,885,248,825,487,402,580,410,70,607,192,615
19930514,373,246,122,976,383,134,988,807,115,268,188,650,71,830,853
19930515,576,935,485,697,306,154,476,747,462,123,209,355,469,483,456
19930516,348,859,626,582,513,785,265,844,369,662,940,75,72,204,511
19930517,186,845,982,86,531,787,584,296,641,8,879,67,355,359,261
19930518,752,122,434,154,538,145,854,223,100,126,542,458,405,597,73
19930519,343,788,685,162,591,761,894,457,764,252,928,803,329,557,537
19930520,579,960,929,706,628,242,218,47,532,757,193,16,483,270,880
19930521,884,790,505,136,884,237,970,203,582,77,450,177,809,478,19
19930522,999,547,92,351,3,690,281,486,11,768,377,792,627,571,4
19930523,223,503,459,75,271,704,632,537,784,423,636,108,51,666,462
19930524,977,697,163,332,931,597,739,556,63,763,760,24,554,667,229
19930525,495,555,217,93,1017,626,988,74,395,87,748,886,690,163,830
19930526,376,825,715,117,97,375,777,956,301,139,478,518,505,717,821
19930527,393,206,425,204,149,818,920,966,1019,408,388,57,251,20,505
19930528,630,537,471,465,755,131,363,622,912,331,456,924,226,595,682
19930529,50,639,113,487,92,835,841,998,59,159,28,759,36,664,475
19930530,123,246,923,95,355,326,861,786,16,389,176,510,107,932,510
19930531,386,365,121,732,863,880,717,229,874,775,537,119,461,978,200
19930601,661,145,470,583,634,530,822,738,903,595,776,788,513,711,28
19930602,53,80,434,921,144,538,451,266,341,735,980,869,25,52,834
19930603,879,1011,245,59,694,303,807,479,400,98,806,180,670,372,970
19930604,624,909,481,936,802,575,720,258,437,78,874,799,933,908,185
19930605,101,720,446,104,343,861,356,513,751,922,505,187,499,70,580
19930606,200,493,194,762,397,869,612,398,937,128,96,871,604,652,516
19930607,836,324,433,56,337,391,523,603,633,726,704,272,153,828,236
19930608,585,957,87,606,621,507,72,643,401,677,375,247,499,544,501
19930609,784,775,521,16,269,739,163,230,805,88,934,225,68,315,707
19930610,91,863,98,611,649,375,776,518,693,670,522,799,918,473,985
19930611,264,706,674,907,565,277,370,709,69,54,470,155,501,319,913
19930612,595,809,709,469,521,750,265,614,141,494,325,173,151,300,774
19930613,178,787,507,960,680,598,898,99,477,292,228,903,537,467,313
19930614,783,517,361,624,303,412,484,59,246,637,678,71,356,854,784
19930615,365,86,409,225,372,508,41,452,464,648,895,957,654,859,1021
19930616,706,869,989,986,1011,98,308,878,789,449,849,773,363,512,622
19930617,46,87,627,253,889,387,174,779,354,417,213,205,424,642,958
19930618,835,478,643,960,829,401,23,183,548,392,101,160,1008,13,9
19930619,947,849,448,852,247,846,258,840,960,608,223,221,897,1,261
19930620,651,311,1012,143,201,549,294,813,256,610,406,210,331,596,891
19930621,400,117,808,491,250,10,868,939,837,605,454,607,1019,824,1008
19930622,894,770,105,289,195,1014,411,575,261,816,210,567,946,956,587
19930623,968,872,376,157,736,866,92,802,780,994,242,464,30,418,703
19930624,34,55,433,906,157,355,977,151,86,515,560,280,175,250,851
19930625,996,12,50,29,422,3,226,740,171,606,111,802,988,10,794
19930626,308,508,921,243,537,58,958,374,313,266,925,971,26,124,444
19930627,834,815,881,39,457,112,475,497,602,513,498,875,279,376,818
19930628,21,462,576,859,607,586,659,838,10,686,168,345,922,94,794
19930629,768,1021,980,905,548,362,447,426,399,32,518,930,238,284,351
19930630,31,214,799,590,468,72,490,710,951,562,68,151,428,383,552
19930701,327,583,667,191,1013,610,712,964,993,466,278,951,831,338,401
19930702,694,507,310,910,648,522,787,261,536,278,246,186,714,719,817
19930703,426,1000,579,547,14,82,449,1022,427,994,312,367,801,765,250
19930704,17,524,704,1000,364,628,198,333,608,293,803,624,201,364,999
19930705,462,660,839,742,749,616,135,483,605,68,7,356,687,780,291
19930706,204,865,538,823,334,449,315,621,4,795,647,579,726,492,305
19930707,451,476,783,21,727,720,707,270,195,1018,127,70,801,922,1002
19930708,696,1021,144,78,21,632,193,179,777,780,918,721,923,547,359
19930709,857,574,1001,160,764,795,895,40,3,424,886,616,472,622,512
19930710,755,517,240,227,540,951,873,630,396,285,465,983,704,277,893
19930711,761,865,835,289,386,692,71,720,983,622,121,57,990,280,61
19930712,825,620,363,582,781,556,539,265,72,85,678,11,192,1007,826
19930713,109,418,861,263,664,242,394,304,650,709,483,612,352,326,457
19930714,618,381,39,97,114,326,89,734,817,881,462,615,870,147,87
19930715,316,851,324,595,811,498,55,875,1023,971,435,460,303,21,78
19930716,803,907,868,78,980,786,58,156,116,563,237,53,504,739,347
19930717,663,748,713,60,663,496,429,821,422,277,187,931,317,531,315
19930718,41,775,608,963,760,185,528,803,653,273,363,968,411,983,224
19930719,531,930,775,713,491,595,363,34,813,627,249,884,89,504,387
19930720,475,640,234,60,418,543,76,101,292,518,680,918,334,202,339
19930721,326,537,394,71,757,504,766,317,289,233,490,60,270,227,806
19930722,615,1020,747,101,139,494,913,644,346,652,185,598,553,588,247
19930723,112,307,352,98,650,629,865,982,1019,450,688,351,705,253,127
19930724,94,702,952,636,927,117,464,356,289,694,169,378,642,480,688
19930725,1018,130,551,81,425,263,533,711,576,396,223,676,18,48,531
19930726,672,102,718,261,245,738,290,597,980,772,777,673,419,581,264
19930727,492,980,215,690,156,290,615,661,301,706,299,395,903,839,414
19930728,807,551,577,263,771,712,89,405,870,604,777,643,875,180,888
19930729,24,414,430,803,707,877,485,886,78,801,201,228,480,642,222
19930730,662,493,23,434,933,400,368,526,371,868,516,778,176,667,625
19930731,412,719,986,387,451,892,1021,822,5,916,402,842,398,798,283
19930801,206,263,21,906,561,402,480,387,747,1011,601,763,229,842,511
19930802,233,459,973,1020,554,676,572,777,911,425,820,704,1004,256,299
19930803,368,368,185,634,87,848,238,278,719,955,829,631,900,954,994
19930804,540,101,513,363,638,997,347,627,381,390,101,437,110,345,45
19930805,205,820,354,91,306,997,871,381,597,1004,335,264,257,469,154
19930806,707,669,655,741,780,621,716,877,463,36,464,8,984,346,345
19930807,654,642,223,580,591,425,671,495,301,976,331,213,972,269,168
19930808,398,58,927,485,181,492,93,411,726,18,411,390,939,765,981
19930809,815,22,764,958,56,545,822,304,436,988,939,367,803,668,210
19930810,145,895,721,820,574,36,696,610,329,545,971,914,926,316,98
19930811,951,876,66,183,215,146,627,742,18,157,205,43,123,304,544
19930812,482,787,407,699,61,343,430,880,510,903,745,30,904,603,935
19930813,607,290,565,322,951,621,286,824,42,543,364,264,588,273,181
19930814,333,170,549,847,721,63,574,921,490,840,964,568,416,770,644
19930815,783,925,311,572,227,72,766,251,737,992,889,948,394,909,164
19930816,705,377,851,701,792,115,37,995,57,350,457,751,696,117,857
19930817,136,1013,564,325,857,257,617,559,958,1005,128,1003,780,888,122
19930818,9,775,504,111,711,919,818,334,932,917,200,645,882,329,524
19930819,279,224,122,742,256,244,964,684,142,369,888,16,392,897,203
19930820,546,809,269,340,811,601,678,200,288,713,737,462,666,172,927
19930821,556,62,560,407,838,346,884,871,713,768,348,664,916,753,533
19930822,965,848,735,414,734,500,478,776,476,229,562,836,463,665,160
19930823,442,620,593,989,488,533,398,772,788,100,362,62,982,902,483
19930824,549,871,504,909,360,962,309,230,948,209,783,484,61,333,314
19930825,423,95,768,371,651,316,192,796,762,93,496,134,925,267,751
19930826,938,186,288,281,492,785,900,26,556,94,600,830,912,299,259
19930827,142,209,109,495,3,978,460,146,351,972,325,44,1001,291,447
19930828,254,823,406,412,132,126,507,705,383,315,947,420,1001,224,566
19930829,545,655,119,699,304,510,113,798,891,566,889,6,432,229,552
19930830,312,467,15,832,856,920,287,647,530,866,297,234,854,895,122
19930831,733,323,336,665,792,550,619,10,58,390,651,1011,494,950,194
19930901,827,909,853,778,619,304,21,831,875,462,139,407,140,983,624
19930902,391,633,28,98,916,336,158,720,109,601,166,606,244,193,891
19930903,945,461,479,264,657,890,352,1007,57,844,584,1008,191,395,952
19930904,851,522,932,429,1002,109,839,560,936,375,987,804,647,847,389
19930905,745,197,30,180,795,51,627,973,897,322,338,870,625,628,321
19930906,196,124,385,724,451,536,329,92,416,188,88,254,785,549,700
19930907,430,298,252,460,622,350,329,280,966,115,921,940,907,791,401
19930908,33,721,80,482,509,555,897,887,591,979,671,526,134,273,719
19930909,743,259,683,495,809,393,408,353,88,153,820,1008,188,9,1007
19930910,678,433,567,1002,952,477,321,24,132,395,645,152,666,104,950
19930911,180,370,122,53,403,177,656,341,199,662,654,55,752,231,609
19930912,628,546,484,166,844,746,877,300,718,978,423,405,786,670,776
19930913,989,746,129,72,542,383,472,868,959,888,136,823,985,873,818
19930914,404,863,399,364,136,224,151,546,602,210,305,590,1003,384,25
19930915,604,906,877,905,675,863,869,264,960,538,156,813,299,353,717
19930916,847,848,507,338,341,671,17,906,138,129,794,368,818,766,152
19930917,138,600,906,181,848,891,993,376,322,505,743,788,425,883,767
19930918,678,339,700,846,128,18,214,756,727,984,212,568,898,890,329
19930919,929,898,989,75,930,185,364,200,917,380,447,634,404,65,232
19930920,716,944,757,256,122,357,312,341,937,693,713,1005,506,781,440
19930921,179,538,247,543,890,414,970,449,613,925,430,394,471,991,571
19930922,504,412,124,79,703,735,824,203,502,350,714,936,33,497,688
19930923,814,161,304,1012,285,295,904,717,123,501,321,412,955,28,833
19930924,656,629,978,485,657,502,505,661,889,230,514,182,989,892,229
19930925,64,758,277,747,781,780,509,719,568,937,813,1003,663,370,475
19930926,857,800,369,702,565,452,57,187,755,525,421,370,427,122,218
19930927,998,75,232,936,878,431,335,267,423,546,341,546,95,598,762
19930928,360,396,940,314,260,892,910,511,1019,661,210,245,470,28,610
19930929,33,846,793,67,219,293,42,845,137,311,368,397,995,512,104
19930930,1022,835,112,610,777,326,227,568,427,704,16,134,81,348,31
19931001,161,214,679,428,660,180,73,18,39,353,893,327,510,59,916
19931002,970,97,94,891,241,151,596,895,605,729,830,325,356,812,71
19931003,163,298,359,910,896,377,24,773,915,461,989,464,783,879,457
19931004,470,272,169,279,353,271,762,734,354,45,909,35,265,666,302
19931005,373,360,438,332,513,163,370,509,633,659,73,129,479,522,188
19931006,261,87,964,931,881,105,431,183,864,264,922,276,727,748,165
19931007,230,143,989,65,555,287,714,447,499,756,618,179,912,610,202
19931008,341,387,621,669,309,689,266,633,762,865,85,691,33,946,100
19931009,20,818,413,838,197,913,733,149,216,703,878,562,413,452,102
19931010,938,578,326,499,869,489,493,622,237,890,649,623,932,686,290
19931011,485,358,474,303,325,757,569,217,825,742,702,398,627,136,211
19931012,890,655,359,644,822,275,283,866,554,659,460,127,469,335,928
19931013,806,117,237,189,507,476,559,47,544,43,539,445,83,494,573
19931014,548,732,332,347,474,467,951,487,576,549,679,5,500,939,439
19931015,999,199,644,213,93,147,929,134,499,292,651,703,526,775,942
19931016,52,206,84,319,755,26,469,267,923,315,1004,876,493,245,162
19931017,144,159,622,102,927,392,498,967,185,861,716,311,107,440,809
19931018,822,399,935,427,560,986,149,17,630,336,621,813,807,413,475
19931019,254,2,133,740,926,708,474,706,661,613,763,368,421,444,547
19931020,302,788,961,537,387,555,365,635,822,983,855,66,110,752,904
19931021,234,604,10,864,382,570,83,977,521,787,265,782,483,643,1005
19931022,700,996,399,438,93,418,634,445,170,610,890,726,638,226,359
19931023,449,967,101,44,645,658,907,508,19,105,593,601,450,553,996
19931024,338,876,967,200,265,213,825,4,882,664,937,118,586,710,408
19931025,299,326,223,981,523,782,586,303,796,566,21,532,438,403,253
19931026,99,968,957,378,608,485,838,861,493,894,602,224,699,567,17
19931027,319,711,211,197,818,456,438,485,900,984,363,786,1003,644,410
19931028,179,214,267,1002,687,17,850,629,198,867,904,644,229,1017,393
19931029,796,36,853,790,14,637,612,159,593,10,70,211,791,248,564
19931030,681,692,545,222,816,315,919,165,397,0,84,726,566,739,555
19931031,419,841,658,418,1005,121,323,81,650,521,216,993,209,650,811
19931101,744,661,281,218,708,300,51,251,92,510,379,646,666,59,64
19931102,773,866,289,331,464,568,847,750,874,517,218,31,352,804,969
19931103,329,726,1010,730,505,302,831,140,84,678,235,522,630,420,494
19931104,570,298,878,712,768,932,697,2,144,689,611,1013,196,864,224
19931105,769,642,386,310,219,400,297,515,645,442,758,444,584,140,1013
19931106,87,733,867,946,51,636,652,461,950,49,40,382,645,456,461
19931107,154,93,741,154,660,954,555,861,840,977,885,947,864,616,40
19931108,664,379,1018,426,501,246,323,199,907,608,971,858,18,238,390
19931109,818,155,97,254,637,983,954,419,158,76,512,983,938,177,451
19931110,111,905,766,192,96,708,469,266,416,676,739,735,530,412,205
19931111,57,637,966,709,692,449,805,64,993,647,174,976,875,102,492
19931112,666,746,859,141,935,946,593,202,983,578,562,361,350,522,274
19931113,919,1009,766,554,915,40,744,885,588,833,657,82,212,52,853
19931114,780,350,426,1001,520,810,970,536,405,95,220,561,289,100,219
19931115,867,393,238,620,929,226,220,50,568,841,535,861,79,232,31
19931116,944,838,646,352,928,490,927,541,874,137,67,431,493,46,810
19931117,438,986,587,80,464,854,433,1,666,669,469,909,866,223,337
19931118,771,12,777,992,749,19,611,278,791,900,1008,308,293,409,721
19931119,720,555,939,440,718,495,296,801,664,611,632,629,331,836,599
19931120,381,297,158,413,302,739,89,266,560,638,939,762,837,576,405
19931121,268,829,686,920,42,3,286,522,659,910,150,610,376,443,476
19931122,19,554,185,806,132,243,127,36,452,403,866,87,49,793,279
19931123,884,378,813,658,249,441,453,677,285,43,120,196,890,294,384
19931124,627,747,12,618,52,938,107,130,314,39,573,593,934,965,695
19931125,70,29,349,380,304,235,429,569,314,128,947,844,967,919,435
19931126,644,627,825,535,189,350,133,653,3,133,716,918,610,508,506
19931127,919,130,142,768,332,888,497,839,433,128,600,346,790,93,126
19931128,784,387,218,792,567,719,581,576,566,175,960,457,413,726,719
19931129,509,227,14,753,201,867,166,203,102,576,59,811,149,743,740
19931130,928,181,24,158,266,175,368,459,66,446,598,246,349,607,896
19931201,438,476,40,611,322,598,72,865,379,649,852,803,948,563,423
19931202,543,490,778,618,192,134,2,52,809,678,134,792,477,922,985
19931203,48,399,247,421,293,92,861,740,773,653,166,39,805,965,225
19931204,511,631,644,372,632,633,936,431,897,313,366,1023,339,537,991
19931205,817,851,359,743,942,484,602,91,116,49,67,675,822,867,449
19931206,765,444,291,824,656,782,497,587,911,647,764,761,29,39,780
19931207,147,127,672,634,837,1013,101,358,241,96,512,711,798,677,142
19931208,683,759,484,908,724,916,1017,264,111,131,1000,687,790,443,1010
19931209,500,1022,331,824,137,189,831,888,33,841,618,99,185,944,100
19931210,25,671,453,569,180,233,504,1022,298,239,801,321,400,606,720
19931211,255,783,653,34,255,845,149,488,55,806,1006,833,360,591,790
19931212,606,511,300,548,1009,762,671,275,20,288,207,95,27,1006,224
19931213,820,864,614,576,763,866,828,773,559,35,756,634,366,168,954
19931214,704,805,969,910,827,506,974,216,271,58,406,40,665,502,522
19931215,349,274,79,494,471,751,136,668,570,1000,837,750,623,120,94
19931216,465,1023,475,798,215,470,492,680,633,355,175,585,300,806,345
19931217,653,274,298,389,717,584,230,78,237,581,776,1000,824,72,226
19931218,403,545,105,1006,817,450,61,136,180,672,532,879,626,892,869
19931219,282,360,122,250,271,684,630,850,885,156,829,218,422,810,185
19931220,48,145,521,288,142,868,589,360,914,1020,853,361,836,309,690
19931221,842,711,672,229,581,460,989,629,35,92,338,344,1019,764,951
19931222,392,290,368,393,936,561,906,126,299,897,961,704,853,877,761
19931223,751,178,261,851,877,900,472,258,967,509,566,429,331,566,247
19931224,562,350,406,18,394,417,728,286,647,215,814,440,356,543,259
19931225,404,103,143,352,4,681,21,345,859,641,275,114,519,354,788
19931226,647,643,942,578,23,711,940,937,16,764,776,248,344,612,748
19931227,733,426,310,66,417,516,814,989,77,275,905,944,213,135,678
19931228,571,276,323,331,685,545,765,671,198,583,650,767,690,457,903
19931229,749,988,994,401,129,863,100,753,936,542,581,524,158,120,560
19931230,635,254,894,45,870,629,936,271,487,795,679,411,843,949,1009
19931231,584,539,135,573,246,866,901,170,591,237,675,96,755,920,732
19940101,598,684,366,493,427,484,435,1001,631,697,577,560,793,523,292
19940102,221,393,75,463,886,679,24,381,921,584,800,90,570,660,804
19940103,470,796,367,760,964,457,664,311,911,834,848,150,361,435,46
19940104,551,864,834,37,379,476,183,328,631,216,979,499,626,582,573
19940105,989,8,54,386,571,1004,862,805,686,301,493,328,655,113,164
19940106,423,460,623,374,353,272,223,414,494,1002,269,989,852,573,358
19940107,850,66,253,861,400,909,460,569,330,777,399,194,787,567,925
19940108,732,901,180,1021,894,176,304,274,604,23,179,71,956,201,675
19940109,373,130,257,486,727,125,821,895,137,259,810,429,800,849,392
19940110,558,619,890,707,58,282,695,793,85,601,283,631,713,333,687
19940111,649,590,806,397,105,148,539,932,636,640,599,797,860,774,284
19940112,32,416,751,48,615,326,58,53,554,174,392,747,315,772,542
19940113,422,167,101,887,766,263,753,400,191,504,539,884,728,368,326
19940114,682,904,72,266,663,536,516,761,484,911,775,713,831,545,327
19940115,653,969,962,877,723,521,737,754,845,353,140,742,953,1019,849
19940116,342,862,400,512,234,499,905,267,712,744,95,504,119,98,1013
19940117,453,947,105,376,505,824,792,800,929,768,285,681,14,423,497
19940118,501,640,112,509,607,506,991,567,868,101,571,406,563,214,278
19940119,797,617,818,964,591,886,432,685,759,926,512,7,686,969,622
19940120,500,491,647,980,326,210,683,985,519,236,111,180,527,917,57
19940121,363,771,539,822,259,493,100,905,87,269,480,370,439,189,184
19940122,669,319,832,581,914,101,640,798,967,703,355,781,785,94,673
19940123,1019,241,960,822,249,835,411,366,254,165,769,79,197,779,621
19940124,76,564,162,362,995,195,640,130,101,812,322,418,394,695,7
19940125,1023,98,447,625,386,459,1022,719,163,700,79,259,485,963,850
19940126,456,229,727,180,296,330,131,570,398,57,282,1004,180,102,284
19940127,100,396,352,622,970,352,625,1023,739,956,903,875,724,984,923
19940128,30,62,449,254,888,445,505,128,514,139,447,716,130,1020,875
19940129,918,325,255,948,971,407,969,959,870,838,875,334,792,32,844
19940130,938,995,459,204,578,429,755,194,963,702,968,36,897,397,329
19940131,244,758,320,808,993,359,556,522,448,386,804,260,120,577,130
19940201,244,796,351,431,467,504,35,626,698,53,679,66,89,852,39
19940202,488,272,455,60,421,249,528,968,136,768,167,133,432,918,196
19940203,466,485,966,754,205,7,373,919,441,552,676,842,597,800,169
19940204,275,25,856,645,945,834,771,381,335,637,250,828,699,981,906
19940205,119,296,428,533,714,805,700,702,824,159,882,970,144,950,901
19940206,950,165,160,457,647,20,614,175,367,245,496,72,124,46,422
19940207,396,989,631,520,477,100,697,271,1014,188,982,877,180,256,1018
19940208,847,896,200,82,3,450,633,121,87,17,750,427,527,235,435
19940209,866,621,196,300,931,645,613,481,354,436,584,336,383,247,543
19940210,979,495,595,750,137,510,691,949,333,403,379,457,144,634,654
19940211,809,566,601,30,820,983,825,976,208,669,769,855,613,473,268
19940212,884,899,831,374,109,29,155,301,928,541,948,195,941,364,514
19940213,581,460,654,800,299,951,577,485,340,950,477,425,643,52,209
19940214,247,757,878,988,142,503,384,903,15,660,690,355,497,458,942
19940215,938,450,279,971,991,766,604,924,942,453,584,256,621,718,692
19940216,1015,886,600,8,898,386,431,357,923,205,618,328,63,30,25
19940217,896,727,820,202,366,773,583,510,937,134,383,864,364,715,282
19940218,520,984,894,876,29,950,679,203,790,573,320,31,697,279,853
19940219,109,544,376,144,407,119,698,148,902,770,1010,217,30,786,652
19940220,81,1019,870,704,432,724,1022,133,619,25,999,731,290,526,778
19940221,666,855,725,149,659,902,740,899,386,98,245,938,996,603,871
19940222,102,447,609,688,633,254,456,401,250,608,125,283,322,150,186
19940223,159,364,897,404,809,1005,434,656,215,26,874,646,101,489,1014
19940224,134,691,904,176,298,148,448,71,330,918,91,143,642,712,122
19940225,948,1006,831,67,61,148,167,665,717,884,470,105,383,471,1023
19940226,972,820,870,549,808,50,542,712,457,842,923,314,685,186,673
19940227,896,632,861,954,837,458,548,379,950,983,647,544,829,445,1013
19940228,66,431,385,222,578,946,139,92,359,807,68,796,818,621,943
19940301,769,1005,338,52,140,437,588,192,824,958,523,276,57,891,398
19940302,109,177,104,362,240,806,573,533,545,13,369,981,238,560,392
19940303,851,778,875,639,470,923,854,546,727,1005,589,992,495,781,980
19940304,264,453,940,172,927,362,954,39,854,800,440,214,16,814,12
19940305,104,243,88,610,449,609,817,969,408,59,728,507,973,95,1005
19940306,669,977,946,62,419,239,716,572,623,121,873,137,298,549,757
19940307,136,563,413,281,921,955,564,245,107,769,192,634,174,532,884
19940308,519,651,401,396,281,175,559,66,271,925,477,431,514,7,873
19940309,613,72,946,989,559,618,804,126,413,233,679,180,1005,429,938
19940310,13,932,215,965,910,530,950,308,322,572,508,833,22,774,238
19940311,472,324,745,175,922,60,1002,122,503,445,844,262,755,776,648
